feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
t2m_amplitude,5.0,5.185080627295158,1,1
humidity_stress_index,5.666666666666667,5.794880738627268,2,2
swvl1_zaid_std,7.0,6.989348778928731,3,3
soil_moisture_seasonality,7.333333333333333,7.43705351296788,4,4
GDD_rabi,8.0,8.188910367515378,5,5
e_rabi_mean,9.333333333333334,9.11524175299297,6,6
e_kharif_mean,10.0,9.88499030925748,8,7
e_rabi_std,10.0,9.95314637570001,8,8
runoff_ratio_rabi_mean,10.0,9.996589259574474,8,9
runoff_ratio_zaid_mean,10.666666666666666,10.580838188749134,10,10
humidity_variability,11.0,11.097117989025506,11,11
tp_kharif_std,12.666666666666666,12.498201161015116,12,12
swvl1_rabi_std,14.0,13.875834958501628,13,13
swvl1_amplitude,15.666666666666666,15.983791106142645,14,14
water_retention_index,16.666666666666668,16.030921917399294,15,15
swvl1_kharif_mean,17.333333333333332,17.097350051275956,16,16
soil_air_diff_kharif_std,19.0,18.688839461096357,17,17
cvh,19.333333333333332,19.316299211895032,18,18
tp_kharif_mean,20.333333333333332,20.746299181761408,19,19
swvl1_stability,20.666666666666668,20.922456520551165,20,20
GDD_kharif,20.666666666666668,20.97846549560701,20,21
soil_air_diff_rabi_std,22.0,21.719716253789446,23,22
runoff_ratio_kharif_mean,21.666666666666668,22.053862042695282,22,23
e_zaid_mean,22.0,22.064745326017004,23,24
e_zaid_std,22.333333333333332,22.108001272347227,25,25
soil_air_diff_zaid_mean,24.0,24.214042549878137,26,26
swvl1_rabi_mean,24.333333333333332,24.46027082522053,27,27
t2m_peak_cos,25.666666666666668,25.50161190144064,28,28
heat_months_30C,26.333333333333332,26.20128952115251,29,29
tp_zaid_mean,27.666666666666668,27.807446829808647,30,30
e_kharif_std,28.0,27.922688582801612,31,31
soil_air_diff_kharif_mean,28.0,28.16910379568825,31,32
soil_air_diff_rabi_mean,28.666666666666668,28.462417757581086,33,33
tp_kharif_fraction,28.666666666666668,28.71224371089325,33,34
heat_months_35C,31.333333333333332,31.240902664806757,35,35
t2m_peak_sin,35.0,35.0,36,36
