feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
e_kharif_mean,3.6666666666666665,3.6778867856162396,1,1
GDD_kharif,5.333333333333333,5.343256353664634,2,2
tp_kharif_std,5.333333333333333,5.343378833433969,2,3
humidity_variability,6.333333333333333,6.329283407246721,4,4
e_zaid_mean,8.333333333333334,8.372304564424482,5,5
cvh,8.666666666666666,8.70328866005994,6,6
water_retention_index,10.0,9.955155674664166,7,7
humidity_stress_index,12.333333333333334,12.312874893824056,8,8
soil_moisture_seasonality,13.0,12.990884159209632,9,9
e_rabi_mean,14.0,13.999632560691994,10,10
e_zaid_std,14.333333333333334,14.293432442931921,11,11
tp_kharif_fraction,14.333333333333334,14.36452197271484,11,12
t2m_amplitude,14.666666666666666,14.684934498709863,13,13
soil_air_diff_rabi_mean,15.0,14.98565961427408,14,14
swvl1_amplitude,15.0,14.998176831841928,14,15
GDD_rabi,16.666666666666668,16.717139126708517,16,16
soil_air_diff_kharif_std,17.0,16.92684234252033,17,17
runoff_ratio_rabi_mean,17.0,17.022000497666227,17,18
swvl1_rabi_std,17.333333333333332,17.300847595333554,19,19
swvl1_zaid_std,17.666666666666668,17.71398270946971,20,20
runoff_ratio_kharif_mean,18.666666666666668,18.718962294866593,21,21
e_kharif_std,20.0,19.93765887169944,22,22
tp_kharif_mean,21.0,20.99063919967096,23,23
swvl1_kharif_mean,23.666666666666668,23.676186097227504,24,24
t2m_peak_sin,25.0,25.025279394674364,25,25
t2m_peak_cos,26.333333333333332,26.36161051501471,26,26
swvl1_stability,26.666666666666668,26.658444334724106,27,27
heat_months_30C,27.0,26.96998597946743,28,28
soil_air_diff_zaid_mean,27.333333333333332,27.334630431951606,29,29
e_rabi_std,27.666666666666668,27.66536956804839,30,30
tp_zaid_mean,27.666666666666668,27.70826824545682,30,31
soil_air_diff_kharif_mean,28.0,27.969373580620754,32,32
swvl1_rabi_mean,28.666666666666668,28.64240326060945,33,33
runoff_ratio_zaid_mean,29.333333333333332,29.302180844414288,34,34
soil_air_diff_rabi_std,29.333333333333332,29.34507952182271,34,35
heat_months_35C,33.666666666666664,33.65844433472411,36,36
