feature,unweighted_avg_rank,weighted_avg_rank,unweighted_rank,weighted_rank
swvl1_rabi_std,1.6666666666666667,1.663881554421788,1,1
water_retention_index,3.0,3.0,2,2
GDD_kharif,7.0,7.05013202040781,3,3
runoff_ratio_rabi_mean,7.333333333333333,7.261091230548024,4,4
t2m_amplitude,8.666666666666666,8.705501657145227,5,5
cvh,10.666666666666666,10.655469279159975,6,6
tp_kharif_fraction,11.0,11.025051775572111,7,7
runoff_ratio_zaid_mean,12.0,11.933356590968035,8,8
e_rabi_mean,13.0,12.958379897276558,9,9
tp_kharif_mean,13.333333333333334,13.32784851663434,10,10
tp_kharif_std,14.0,13.89162261119024,11,11
tp_zaid_mean,14.666666666666666,14.738979942610946,12,12
soil_air_diff_kharif_std,15.333333333333334,15.336175384105385,13,13
swvl1_kharif_mean,15.666666666666666,15.738851830924796,14,14
humidity_variability,16.666666666666668,16.730596136612718,15,15
soil_air_diff_kharif_mean,16.666666666666668,16.76401748355126,15,16
GDD_rabi,17.333333333333332,17.394577333457068,17,17
e_kharif_std,19.0,18.966507479902486,18,18
t2m_peak_cos,19.333333333333332,19.352601364938774,19,19
e_kharif_mean,20.0,19.90846139634566,20,20
soil_air_diff_rabi_mean,20.0,20.07511262282095,20,21
swvl1_rabi_mean,21.666666666666668,21.68887639146672,22,22
e_rabi_std,22.0,21.916546275076204,23,23
e_zaid_std,22.333333333333332,22.302640160112492,24,24
heat_months_30C,22.333333333333332,22.34428873209952,24,25
swvl1_zaid_std,23.0,22.90829058076413,26,26
e_zaid_mean,24.333333333333332,24.261005822757255,27,27
runoff_ratio_kharif_mean,24.333333333333332,24.427756691655105,27,28
humidity_stress_index,25.0,25.00838380599822,29,29
soil_air_diff_rabi_std,26.666666666666668,26.68067763568182,30,30
soil_moisture_seasonality,27.0,26.98326085726714,31,31
swvl1_amplitude,27.0,27.041719745145997,31,32
swvl1_stability,27.666666666666668,27.663981196844347,33,33
soil_air_diff_zaid_mean,28.666666666666668,28.655540452318945,34,34
t2m_peak_sin,32.333333333333336,32.31103820074251,35,35
heat_months_35C,35.333333333333336,35.32777734347537,36,36
