crop,n_rows,n_classes,dropped,acc_mean,acc_std,f1_mean,f1_std
sugarcane,663,3,none,0.8657894736842107,0.012660347857191064,0.8649622195751752,0.016095371260468373
other_oilseeds,223,3,none,0.8654545454545455,0.02015803291977606,0.8622251936803021,0.018806923352602357
mesta,258,3,none,0.8529411764705882,0.04424219569802827,0.8461427232095501,0.05584384224458351
sweet_potato,457,3,none,0.8445293836598186,0.03541292976774071,0.8425816880209307,0.03473400673954748
onion,573,3,none,0.8394813119755913,0.02709154511090323,0.8396282742420841,0.02599436339583942
peas_and_beans,518,3,none,0.8300970873786409,0.008108093756106697,0.8261550352037375,0.01294030762567404
cowpea_lobia,231,3,none,0.8142460684551341,0.055702390397463115,0.8096883792990367,0.06897578194407404
groundnut,583,2,High,0.8096080165045683,0.04439639871833681,0.8086111111556912,0.04504969127682797
garlic,439,3,none,0.8040752351097179,0.03490145491963786,0.8044724063927111,0.03603989110315805
potato,600,3,none,0.805,0.02392116682401221,0.8014060111176724,0.024260827975165995
turmeric,502,3,none,0.7987722772277228,0.034810146500444554,0.7993901530602076,0.034046868947362384
ragi,379,3,none,0.7994736842105263,0.0487914891992707,0.7988297275245467,0.049922753209567225
banana,405,3,none,0.7950617283950617,0.016746493785494497,0.7883558497535132,0.020457748622853444
coriander,406,3,none,0.7856669677807889,0.015396798662589816,0.7855290429999923,0.014994533006409553
barley,328,3,none,0.7714219114219115,0.05410267959803242,0.7703769164684706,0.052281254110856094
rice,720,3,none,0.7722222222222221,0.019344983718311292,0.7701007881183227,0.020980037585056427
rapeseed_and_mustard,656,3,none,0.7607332870691648,0.02602671993982756,0.7593445214243579,0.02590868670389798
ginger,444,3,none,0.7590143003064351,0.05796155357846179,0.7569597084658467,0.05650336816973594
tobacco,352,3,none,0.755774647887324,0.01958828728472791,0.7522664689926637,0.017238044802583972
sunflower,483,3,none,0.7537585910652921,0.03865573670960555,0.7510945289858435,0.03428417037135444
cotton,454,3,none,0.748962148962149,0.029320304800593184,0.7465222151814845,0.024774819829964607
other_rabi_pulses,602,3,none,0.7359504132231405,0.020347667644364565,0.7324293494683977,0.021456015155400885
dry_chillies,577,3,none,0.7296101949025486,0.013250863018419741,0.7262871807730287,0.013932003959743589
wheat,630,3,none,0.7238095238095238,0.01694774325719254,0.7255073762058044,0.017325925842992876
jowar,521,3,none,0.7352564102564102,0.035028400236703214,0.7239225072860741,0.036857729882971396
castorseed,390,3,none,0.7282051282051283,0.04470665583118639,0.7237358796029593,0.04547589749046584
sannhamp,304,3,none,0.7139890710382513,0.06785257145689488,0.7094732699964732,0.06656840612337349
gram,641,3,none,0.708296996124031,0.036920078933258584,0.7043435968460462,0.040121323489234806
bajra,501,3,none,0.7026930693069307,0.0436559523127837,0.6993712855429369,0.04224758217979968
small_millets,554,3,none,0.6966912366912367,0.025979015813233766,0.6961952558694238,0.026070703270786633
masoor,469,3,none,0.699382292381606,0.017909444493406746,0.6953964478416838,0.018031218638801777
moong,675,3,none,0.6888888888888889,0.01931615527467454,0.6882276897332548,0.019675893658774406
arhar_tur,665,3,none,0.6917293233082706,0.02179154397923224,0.6863168689694303,0.019887376341535777
urad,664,3,none,0.6853383458646617,0.04069190715108214,0.6848537550212539,0.04104376999485125
linseed,433,3,none,0.6767174552258755,0.027816806582004507,0.6763333271788191,0.028331505612667472
soyabean,425,3,none,0.6776470588235294,0.019115384481496387,0.6739151137283474,0.020798431460378457
niger_seed,224,3,none,0.6652525252525251,0.06845355502075916,0.6675329801496129,0.07076681706859511
other_kharif_pulses,586,3,none,0.6654932637983485,0.05131883532266648,0.6625868283133335,0.048466765949569314
horse_gram,328,3,none,0.6553846153846153,0.049523920583505576,0.6548661465657958,0.04983634362394311
safflower,247,3,none,0.6637551020408163,0.029798042977089496,0.650175205824578,0.02760376544607776
sesamum,686,3,none,0.6384534010367079,0.03182746425140975,0.63864442413775,0.03198155339621877
maize,723,3,none,0.6140325670498085,0.04160437057044569,0.6144784569212696,0.04268379647203415
other_cereals,229,3,none,0.5940096618357489,0.05841744368680852,0.5939478387237169,0.05788596033904612
