crop,n_rows,n_classes,dropped,acc_mean,acc_std,f1_mean,f1_std,f1_high_mean,f1_high_std,f1_low_mean,f1_low_std,f1_medium_mean,f1_medium_std
sugarcane,663,3,none,0.8657894736842107,0.012660347857191064,0.8649622195751752,0.016095371260468373,0.9219,0.0095,0.6894,0.0602,0.763,0.0331
other_oilseeds,223,3,none,0.8654545454545455,0.02015803291977606,0.8622251936803021,0.018806923352602357,0.8324,0.0618,0.9231,0.0261,0.6325,0.0672
mesta,258,3,none,0.8529411764705882,0.04424219569802827,0.8461427232095501,0.05584384224458351,0.9431,0.0235,0.5454,0.2946,0.7716,0.06
sweet_potato,457,3,none,0.8445293836598186,0.03541292976774071,0.8425816880209307,0.03473400673954748,0.9006,0.0434,0.7211,0.0665,0.8075,0.0282
onion,573,3,none,0.8394813119755913,0.02709154511090323,0.8396282742420841,0.02599436339583942,0.8624,0.0324,0.793,0.0477,0.8318,0.0319
peas_and_beans,518,3,none,0.8300970873786409,0.008108093756106697,0.8261550352037375,0.01294030762567404,0.6238,0.1367,0.835,0.0134,0.8553,0.0041
cowpea_lobia,231,3,none,0.8142460684551341,0.055702390397463115,0.8096883792990367,0.06897578194407404,0.575,0.1944,0.8475,0.0791,0.8495,0.0379
groundnut,583,2,High,0.8096080165045683,0.04439639871833681,0.8086111111556912,0.04504969127682797,,,0.8524,0.0336,0.7313,0.0662
garlic,439,3,none,0.8040752351097179,0.03490145491963786,0.8044724063927111,0.03603989110315805,0.8203,0.0406,0.794,0.0558,0.7923,0.0653
potato,600,3,none,0.805,0.02392116682401221,0.8014060111176724,0.024260827975165995,0.7902,0.0432,0.5277,0.0561,0.8379,0.0208
turmeric,502,3,none,0.7987722772277228,0.034810146500444554,0.7993901530602076,0.034046868947362384,0.8308,0.0191,0.7804,0.0489,0.7838,0.0606
ragi,379,3,none,0.7994736842105263,0.0487914891992707,0.7988297275245467,0.049922753209567225,0.8313,0.0585,0.8171,0.0793,0.7607,0.0734
banana,405,3,none,0.7950617283950617,0.016746493785494497,0.7883558497535132,0.020457748622853444,0.8517,0.0095,0.766,0.1088,0.6773,0.0622
coriander,406,3,none,0.7856669677807889,0.015396798662589816,0.7855290429999923,0.014994533006409553,0.7882,0.0652,0.7821,0.0401,0.7864,0.0135
barley,328,3,none,0.7714219114219115,0.05410267959803242,0.7703769164684706,0.052281254110856094,0.8637,0.0459,0.6997,0.1147,0.7064,0.0317
rice,720,3,none,0.7722222222222221,0.019344983718311292,0.7701007881183227,0.020980037585056427,0.826,0.0173,0.5386,0.1036,0.7565,0.0149
rapeseed_and_mustard,656,3,none,0.7607332870691648,0.02602671993982756,0.7593445214243579,0.02590868670389798,0.7901,0.0319,0.8085,0.0468,0.7049,0.0374
ginger,444,3,none,0.7590143003064351,0.05796155357846179,0.7569597084658467,0.05650336816973594,0.8578,0.054,0.6886,0.0813,0.6715,0.0574
tobacco,352,3,none,0.755774647887324,0.01958828728472791,0.7522664689926637,0.017238044802583972,0.8312,0.0522,0.7673,0.0442,0.6827,0.0158
sunflower,483,3,none,0.7537585910652921,0.03865573670960555,0.7510945289858435,0.03428417037135444,0.8402,0.0382,0.3482,0.032,0.7053,0.0406
cotton,454,3,none,0.748962148962149,0.029320304800593184,0.7465222151814845,0.024774819829964607,0.851,0.0255,0.6616,0.0547,0.6464,0.0393
other_rabi_pulses,602,3,none,0.7359504132231405,0.020347667644364565,0.7324293494683977,0.021456015155400885,0.7762,0.0212,0.1333,0.2667,0.7003,0.0333
dry_chillies,577,3,none,0.7296101949025486,0.013250863018419741,0.7262871807730287,0.013932003959743589,0.6595,0.073,0.647,0.0216,0.7829,0.015
wheat,630,3,none,0.7238095238095238,0.01694774325719254,0.7255073762058044,0.017325925842992876,0.821,0.0487,0.7003,0.0397,0.6646,0.0246
jowar,521,3,none,0.7352564102564102,0.035028400236703214,0.7239225072860741,0.036857729882971396,0.3524,0.1818,0.6589,0.0392,0.8112,0.0246
castorseed,390,3,none,0.7282051282051283,0.04470665583118639,0.7237358796029593,0.04547589749046584,0.7583,0.1857,0.77,0.0465,0.6528,0.0638
sannhamp,304,3,none,0.7139890710382513,0.06785257145689488,0.7094732699964732,0.06656840612337349,0.6636,0.0808,0.7872,0.0658,0.6347,0.1023
gram,641,3,none,0.708296996124031,0.036920078933258584,0.7043435968460462,0.040121323489234806,0.5911,0.0983,0.6995,0.0364,0.7564,0.0357
bajra,501,3,none,0.7026930693069307,0.0436559523127837,0.6993712855429369,0.04224758217979968,0.7963,0.0424,0.5681,0.0631,0.6964,0.0562
small_millets,554,3,none,0.6966912366912367,0.025979015813233766,0.6961952558694238,0.026070703270786633,0.6942,0.0309,0.693,0.0713,0.6987,0.0284
masoor,469,3,none,0.699382292381606,0.017909444493406746,0.6953964478416838,0.018031218638801777,0.6824,0.0513,0.5828,0.0412,0.7552,0.0218
moong,675,3,none,0.6888888888888889,0.01931615527467454,0.6882276897332548,0.019675893658774406,0.6532,0.0394,0.7215,0.0163,0.6966,0.0233
arhar_tur,665,3,none,0.6917293233082706,0.02179154397923224,0.6863168689694303,0.019887376341535777,0.7742,0.0489,0.4017,0.0593,0.698,0.0173
