feature,importance
swvl1_rabi_std,0.027836829729580126
runoff_ratio_rabi_mean,0.023455253555952845
cvh,0.021525864746540526
e_rabi_std,0.01746188945085938
water_retention_index,0.01598715065083777
e_kharif_std,0.015423193712522393
soil_moisture_seasonality,0.014275888003684681
runoff_ratio_zaid_mean,0.013249110542982917
tp_kharif_std,0.012238848103901098
t2m_amplitude,0.012056064615339155
t2m_peak_cos,0.011451053676341274
swvl1_kharif_mean,0.010704516580334649
swvl1_zaid_std,0.010679342022854975
heat_months_30C,0.010041285586882987
soil_air_diff_zaid_mean,0.009903121602073966
swvl1_rabi_mean,0.0089416348833897
t2m_peak_sin,0.008485669122684664
tp_kharif_mean,0.008471775347238565
e_zaid_std,0.00829509877266852
tp_kharif_fraction,0.00822909117156475
runoff_ratio_kharif_mean,0.008012160813431602
e_zaid_mean,0.007927445338711541
e_rabi_mean,0.007898017698368533
GDD_rabi,0.007817874330081038
humidity_variability,0.007657156416460293
soil_air_diff_kharif_std,0.007465158185292632
swvl1_stability,0.007077175074120277
humidity_stress_index,0.007009560732498682
soil_air_diff_kharif_mean,0.0068014610752409384
swvl1_amplitude,0.0066140545396091615
GDD_kharif,0.006511487324529222
e_kharif_mean,0.006086800442547087
soil_air_diff_rabi_mean,0.005668828143471696
soil_air_diff_rabi_std,0.005502447040940671
tp_zaid_mean,0.005140359956161952
heat_months_35C,0.004755046117481369
