feature,importance
swvl1_rabi_std,0.01749398495775211
runoff_ratio_zaid_mean,0.0166511433711946
runoff_ratio_rabi_mean,0.01599500442886948
e_kharif_std,0.015097681579932598
tp_kharif_std,0.014559994455363356
e_rabi_std,0.013670256735716573
humidity_variability,0.012448068289851223
t2m_peak_cos,0.01114078391420418
cvh,0.011083244298118328
swvl1_zaid_std,0.01085341456491993
water_retention_index,0.010747417532390634
e_kharif_mean,0.010332155773311492
e_zaid_mean,0.010274796974898737
soil_air_diff_kharif_std,0.010200182930924378
swvl1_amplitude,0.010142617353612134
e_zaid_std,0.009472939568324018
heat_months_30C,0.009460946415571766
t2m_peak_sin,0.009341027255282469
GDD_rabi,0.009148442461650894
soil_moisture_seasonality,0.008803381966737819
soil_air_diff_zaid_mean,0.008740613370254807
swvl1_rabi_mean,0.008460256366661737
t2m_amplitude,0.008431492622514187
tp_kharif_mean,0.008015518959964404
soil_air_diff_kharif_mean,0.00770829986188534
swvl1_kharif_mean,0.007385647579285973
humidity_stress_index,0.007351120101125386
tp_kharif_fraction,0.007281849895475657
tp_zaid_mean,0.0071551185049176045
e_rabi_mean,0.006804703025302257
GDD_kharif,0.006750001088635127
runoff_ratio_kharif_mean,0.006484154860254353
soil_air_diff_rabi_mean,0.006295911068603585
soil_air_diff_rabi_std,0.0053369927026476055
swvl1_stability,0.005333264952572236
heat_months_35C,0.00481247388465683
