feature,importance
runoff_ratio_rabi_mean,0.017506914872063614
runoff_ratio_zaid_mean,0.013773873298492879
cvh,0.013027595085217841
e_zaid_mean,0.01238348159382403
swvl1_rabi_std,0.012344927473538008
humidity_variability,0.010647754591029436
water_retention_index,0.010604006217233067
e_rabi_std,0.009588737109905942
e_kharif_std,0.009484965356556446
t2m_amplitude,0.009228825763459455
e_kharif_mean,0.008947827729490475
GDD_rabi,0.008741148054444467
e_zaid_std,0.008169077649699466
t2m_peak_sin,0.008149479505335035
t2m_peak_cos,0.008011384446380044
tp_kharif_std,0.007420407896253645
heat_months_30C,0.007247081269058563
swvl1_kharif_mean,0.007233535347095653
humidity_stress_index,0.007221947021391844
tp_zaid_mean,0.007205858470875447
tp_kharif_mean,0.0071406141749511915
swvl1_zaid_std,0.007053395248600322
swvl1_rabi_mean,0.006879539498643531
GDD_kharif,0.006286609141785177
runoff_ratio_kharif_mean,0.0059856437635445285
soil_moisture_seasonality,0.0059694360607278575
soil_air_diff_kharif_std,0.005828034307449849
soil_air_diff_zaid_mean,0.005719735840255291
tp_kharif_fraction,0.0055649158806196555
swvl1_amplitude,0.005383279706709434
swvl1_stability,0.005363808592747677
e_rabi_mean,0.005042292214546162
heat_months_35C,0.004953009317376447
soil_air_diff_kharif_mean,0.00480487655032012
soil_air_diff_rabi_mean,0.004434294601490552
soil_air_diff_rabi_std,0.003888011048822253
