feature,importance
swvl1_rabi_std,0.020705097710114438
tp_kharif_std,0.01577642521891584
humidity_variability,0.015509288503025593
e_kharif_std,0.015161274433310324
runoff_ratio_rabi_mean,0.014559101043103479
water_retention_index,0.014435374329459743
runoff_ratio_zaid_mean,0.013586410527500125
t2m_peak_cos,0.013075039401509867
e_zaid_std,0.013044260326603658
soil_air_diff_kharif_std,0.01262459891926734
cvh,0.01256454248646002
soil_moisture_seasonality,0.011351296375228572
t2m_peak_sin,0.011232339557522227
swvl1_zaid_std,0.011027531705773032
e_rabi_std,0.01054770123283108
e_zaid_mean,0.010320829393551527
e_kharif_mean,0.00964392262084358
swvl1_amplitude,0.009153368751466068
swvl1_rabi_mean,0.0089717147095459
t2m_amplitude,0.008895065988314684
humidity_stress_index,0.008568342180964628
heat_months_30C,0.008341972294504982
runoff_ratio_kharif_mean,0.008084804424094523
soil_air_diff_zaid_mean,0.007708284912119232
tp_kharif_mean,0.007648238286869927
soil_air_diff_kharif_mean,0.007528725826734746
tp_zaid_mean,0.007307634077999806
tp_kharif_fraction,0.007248678241259907
swvl1_kharif_mean,0.007202830079298568
e_rabi_mean,0.007087981629916555
GDD_rabi,0.006775365682989698
GDD_kharif,0.006391017576427968
soil_air_diff_rabi_mean,0.005936491641815303
heat_months_35C,0.005806495577466955
soil_air_diff_rabi_std,0.005248637476592492
swvl1_stability,0.005072266892871287
