feature,importance
GDD_kharif,0.045441718994043485
e_rabi_std,0.032187348138355366
water_retention_index,0.03141253210828057
soil_air_diff_kharif_mean,0.019478252387145026
swvl1_kharif_mean,0.018502303217826442
soil_air_diff_rabi_mean,0.014860538398996873
swvl1_rabi_std,0.014002316081202528
cvh,0.013004047144796188
GDD_rabi,0.010588447480850693
soil_moisture_seasonality,0.009714736267862286
tp_kharif_fraction,0.009622078074537459
t2m_amplitude,0.00884274224430301
tp_kharif_mean,0.008016982912302021
swvl1_stability,0.0073719753722453485
e_zaid_mean,0.006648902243543413
runoff_ratio_rabi_mean,0.006568475948112391
e_rabi_mean,0.0062098378096327655
runoff_ratio_kharif_mean,0.005965663081568609
humidity_variability,0.00581241032469001
soil_air_diff_kharif_std,0.005789184560714034
swvl1_zaid_std,0.005499682534084105
tp_zaid_mean,0.005445870171365181
e_kharif_std,0.005300619127879218
runoff_ratio_zaid_mean,0.0052385237488112605
e_kharif_mean,0.005194929166807501
humidity_stress_index,0.005172165299745346
e_zaid_std,0.00497473110777259
soil_air_diff_rabi_std,0.004530614643357267
swvl1_amplitude,0.004334264799933451
tp_kharif_std,0.004288538849438273
swvl1_rabi_mean,0.003941265682275314
heat_months_30C,0.0029279329331282416
soil_air_diff_zaid_mean,0.0027515488132289242
t2m_peak_cos,0.0015266417865580802
t2m_peak_sin,0.0007796878947607831
heat_months_35C,5.375597806629498e-05
