feature,importance
t2m_amplitude,0.034335247411680744
soil_air_diff_rabi_std,0.02280169899609067
tp_zaid_mean,0.022507014412010917
humidity_stress_index,0.020627260896770677
tp_kharif_mean,0.01638168648309419
e_rabi_mean,0.016293040031444293
swvl1_amplitude,0.015748172831549237
water_retention_index,0.014897556276140273
soil_air_diff_zaid_mean,0.014238979998787394
GDD_rabi,0.013556911183705772
GDD_kharif,0.012438252188948874
humidity_variability,0.012150022752022701
swvl1_rabi_std,0.012068492719951146
swvl1_zaid_std,0.011232575476971398
e_kharif_std,0.010937506994764472
e_zaid_std,0.010773778019586077
tp_kharif_fraction,0.010362999736700112
e_rabi_std,0.009723592848446486
runoff_ratio_kharif_mean,0.008842944609927576
tp_kharif_std,0.008738572842618425
t2m_peak_sin,0.008428025055770654
soil_moisture_seasonality,0.008051382430304089
runoff_ratio_rabi_mean,0.00794439233113076
e_zaid_mean,0.007933449889606207
runoff_ratio_zaid_mean,0.00777095048284814
swvl1_stability,0.006909485113869053
soil_air_diff_kharif_std,0.006825017655182351
swvl1_kharif_mean,0.006171482784158943
e_kharif_mean,0.006040460974720686
cvh,0.00581283358804482
heat_months_30C,0.00574431658209711
swvl1_rabi_mean,0.004971393337523972
soil_air_diff_rabi_mean,0.004923890455992274
soil_air_diff_kharif_mean,0.004532042572027647
t2m_peak_cos,0.004147135037393885
heat_months_35C,7.48322010290192e-05
