feature,importance
tp_zaid_mean,0.06531757771027183
tp_kharif_fraction,0.054370102877167294
water_retention_index,0.03774605532346894
humidity_stress_index,0.02969473763262486
runoff_ratio_zaid_mean,0.028826059433356383
swvl1_rabi_std,0.02864479344955716
e_rabi_std,0.019399724846132768
humidity_variability,0.016483835327932454
GDD_rabi,0.01525857058959847
e_zaid_std,0.014969508185652833
GDD_kharif,0.01390049344939418
soil_air_diff_kharif_std,0.01382318991300624
runoff_ratio_rabi_mean,0.010368767091505662
tp_kharif_std,0.009572971461704913
swvl1_zaid_std,0.00913115242163952
e_kharif_mean,0.009124791804574811
soil_moisture_seasonality,0.008375433514823746
t2m_amplitude,0.008039188993607994
runoff_ratio_kharif_mean,0.007890836119797871
e_kharif_std,0.0077903136539992065
swvl1_rabi_mean,0.007701629882110842
cvh,0.007334980593948824
e_zaid_mean,0.007100251988910145
soil_air_diff_rabi_std,0.006131800692688663
swvl1_kharif_mean,0.005871401717943045
swvl1_amplitude,0.005734462988349046
e_rabi_mean,0.005283913047102325
tp_kharif_mean,0.005214826844549478
swvl1_stability,0.005100119079462033
soil_air_diff_rabi_mean,0.004938917261798901
soil_air_diff_kharif_mean,0.0034244577879289917
soil_air_diff_zaid_mean,0.002625755736212051
heat_months_30C,0.002469358169645369
t2m_peak_cos,0.0013581021594662114
t2m_peak_sin,0.0007289275272294876
heat_months_35C,0.00026221285639764735
