feature,importance
tp_zaid_mean,0.03605473324218017
humidity_variability,0.0349821204137441
e_zaid_mean,0.029949814458218527
swvl1_rabi_std,0.02752001015114793
humidity_stress_index,0.024543811620726982
soil_air_diff_kharif_std,0.02292589906523755
GDD_kharif,0.018258139768288262
GDD_rabi,0.01790882165382901
e_kharif_mean,0.016649395766291406
runoff_ratio_zaid_mean,0.01602592989834619
tp_kharif_mean,0.015271234584967461
soil_air_diff_kharif_mean,0.015095486054907126
swvl1_stability,0.014285366501844334
swvl1_kharif_mean,0.013768181937434504
e_rabi_std,0.012786064680813123
e_rabi_mean,0.012730481328648138
soil_air_diff_rabi_mean,0.011610981154809307
t2m_amplitude,0.011606737159321803
tp_kharif_fraction,0.011319076639942034
water_retention_index,0.011265146045438856
e_zaid_std,0.010975430117390415
e_kharif_std,0.010970584733213724
t2m_peak_sin,0.01069330682427733
swvl1_zaid_std,0.010177194149765966
runoff_ratio_kharif_mean,0.009553547802262995
swvl1_rabi_mean,0.009542186071672388
heat_months_30C,0.009529780736363748
swvl1_amplitude,0.009251433206919395
soil_air_diff_zaid_mean,0.007674486146350587
cvh,0.006149710989871119
soil_moisture_seasonality,0.005755306000772505
tp_kharif_std,0.005196315047847458
runoff_ratio_rabi_mean,0.0046616806305405
soil_air_diff_rabi_std,0.0036039880640292795
t2m_peak_cos,0.003292521666254191
heat_months_35C,2.6014917307947107e-06
