feature,importance
GDD_rabi,0.043539214894478616
runoff_ratio_rabi_mean,0.03242230971873189
swvl1_rabi_std,0.03181641740315305
tp_kharif_std,0.029724297011807427
t2m_amplitude,0.016953554505210286
tp_kharif_fraction,0.015244232175733712
runoff_ratio_zaid_mean,0.013894443723907612
humidity_stress_index,0.013634428944117377
runoff_ratio_kharif_mean,0.012804967388593148
tp_zaid_mean,0.011555756397606734
tp_kharif_mean,0.010964562340727214
e_rabi_mean,0.010790554128230028
soil_air_diff_kharif_std,0.010752189449071156
soil_moisture_seasonality,0.009589459348983717
humidity_variability,0.008916741846949922
swvl1_stability,0.008273316701196066
swvl1_amplitude,0.007935002417155885
soil_air_diff_zaid_mean,0.007798067111620462
e_kharif_std,0.007787024383316484
GDD_kharif,0.007475015045563983
swvl1_zaid_std,0.007062520490942502
soil_air_diff_kharif_mean,0.00623849527317559
e_zaid_std,0.0042629305121297326
swvl1_kharif_mean,0.004228459947077756
soil_air_diff_rabi_std,0.004165356835822491
e_zaid_mean,0.004136524012538116
water_retention_index,0.003957576670892278
e_kharif_mean,0.003700254257965421
swvl1_rabi_mean,0.0036442712486885556
soil_air_diff_rabi_mean,0.0031442562657317853
e_rabi_std,0.002998499447954086
cvh,0.0027707628337838106
t2m_peak_cos,0.0022573609921722987
t2m_peak_sin,0.001785257389920586
heat_months_30C,0.0008503288242569509
heat_months_35C,1.8670948284467724e-05
