feature,importance
e_rabi_std,0.04401858974463782
runoff_ratio_rabi_mean,0.04095548247784469
humidity_stress_index,0.025810614818899395
GDD_rabi,0.024358945525716165
swvl1_kharif_mean,0.02148734235876176
e_rabi_mean,0.018863355871442698
t2m_amplitude,0.018685589110986035
swvl1_rabi_std,0.018572707967175618
soil_moisture_seasonality,0.01802078035813081
water_retention_index,0.016791819871714672
e_kharif_mean,0.015371200830994868
soil_air_diff_rabi_mean,0.013531235410713008
e_zaid_std,0.01240663197027694
tp_kharif_std,0.01212612250103579
e_zaid_mean,0.011747604706009083
tp_kharif_fraction,0.011485824429069877
swvl1_amplitude,0.01093592401794637
cvh,0.010552880502666988
swvl1_rabi_mean,0.010302801512185064
GDD_kharif,0.010170048151743126
soil_air_diff_rabi_std,0.00907896822360865
humidity_variability,0.008711613492496585
swvl1_zaid_std,0.008396602307326487
soil_air_diff_kharif_mean,0.00791676087265222
soil_air_diff_zaid_mean,0.007163302013667064
runoff_ratio_kharif_mean,0.007162843038972291
e_kharif_std,0.007039864478656325
swvl1_stability,0.006750533125601685
tp_zaid_mean,0.006428257682857416
soil_air_diff_kharif_std,0.0061555004911887645
tp_kharif_mean,0.0056974850009660905
runoff_ratio_zaid_mean,0.0036961320328905583
heat_months_30C,0.0025933492544006394
t2m_peak_sin,0.002134019856781434
t2m_peak_cos,0.0016545076432017008
heat_months_35C,3.300370309832864e-05
