feature,importance
soil_moisture_seasonality,0.06612735376587484
swvl1_amplitude,0.038563358102511255
tp_kharif_std,0.02554585490699804
soil_air_diff_rabi_mean,0.024675800107683422
soil_air_diff_zaid_mean,0.020907109698045684
runoff_ratio_rabi_mean,0.02050913252786322
runoff_ratio_kharif_mean,0.018767941948134113
humidity_variability,0.01701015219509854
tp_kharif_mean,0.015961745759715405
e_zaid_mean,0.015751392410573148
tp_kharif_fraction,0.015417775474643935
t2m_amplitude,0.014204037604158204
runoff_ratio_zaid_mean,0.01388730592928573
e_rabi_std,0.013381785747293382
GDD_rabi,0.009897242367867156
cvh,0.009350424277218109
humidity_stress_index,0.008776377163280759
swvl1_zaid_std,0.008464033446576993
GDD_kharif,0.008237659607779927
tp_zaid_mean,0.007961638714881165
soil_air_diff_rabi_std,0.007892402127825913
swvl1_rabi_std,0.007198402544520123
swvl1_kharif_mean,0.006790636950101186
heat_months_30C,0.006694058021180553
e_kharif_mean,0.006131087793121668
water_retention_index,0.006062573296739491
soil_air_diff_kharif_mean,0.005471544939117119
e_rabi_mean,0.00409361398719532
swvl1_rabi_mean,0.004013781735367169
e_kharif_std,0.0037149579391294596
e_zaid_std,0.003522230123929928
soil_air_diff_kharif_std,0.00350920293408747
swvl1_stability,0.003114512315621049
t2m_peak_sin,0.003105226788705409
t2m_peak_cos,0.0019257125894771442
heat_months_35C,9.414021711300287e-05
