feature,importance
GDD_rabi,0.029275882663030016
swvl1_kharif_mean,0.028014464030842356
cvh,0.021197109807978308
GDD_kharif,0.020376144296660473
tp_kharif_mean,0.018150859192771544
runoff_ratio_kharif_mean,0.01770651752046105
runoff_ratio_rabi_mean,0.0170603206622
soil_air_diff_rabi_mean,0.01648324012814271
soil_moisture_seasonality,0.014498206882877113
water_retention_index,0.013910347869658413
soil_air_diff_kharif_mean,0.01264986440411422
e_zaid_std,0.012355616739433927
e_kharif_std,0.011277820262426217
tp_kharif_std,0.010756937904919214
t2m_amplitude,0.010479160518060849
swvl1_rabi_std,0.009566827171964184
swvl1_zaid_std,0.009439260596756533
e_rabi_std,0.009241674266476955
swvl1_rabi_mean,0.008447100872476323
runoff_ratio_zaid_mean,0.008400780742653394
humidity_variability,0.007879992849584908
e_rabi_mean,0.007217073433497837
swvl1_amplitude,0.00716754491537064
t2m_peak_cos,0.0068100606311015405
soil_air_diff_zaid_mean,0.006624039562640141
humidity_stress_index,0.00627327754716471
t2m_peak_sin,0.006166642332059392
tp_kharif_fraction,0.006033865314536278
e_zaid_mean,0.005552226896043009
tp_zaid_mean,0.005547672368655672
swvl1_stability,0.005357369140422702
e_kharif_mean,0.004933839268858619
soil_air_diff_rabi_std,0.003450931890161375
soil_air_diff_kharif_std,0.003086090196104052
heat_months_30C,0.0017367100423971427
heat_months_35C,0.00012036742317847822
