feature,importance
GDD_kharif,0.045115374261945757
swvl1_rabi_std,0.04249046307394237
water_retention_index,0.03279703623396483
t2m_amplitude,0.022134162333919027
soil_air_diff_kharif_mean,0.018193801071351184
tp_zaid_mean,0.011295180389497218
swvl1_kharif_mean,0.010716763662953668
tp_kharif_fraction,0.010325541894319409
humidity_variability,0.010278271616002393
GDD_rabi,0.009000938419671277
soil_air_diff_rabi_mean,0.008976944216446032
cvh,0.008637686882808167
runoff_ratio_kharif_mean,0.008445492451948637
tp_kharif_mean,0.008116965937445207
soil_air_diff_kharif_std,0.008031444941837834
runoff_ratio_rabi_mean,0.00795152713711265
t2m_peak_cos,0.007709980963098384
e_rabi_mean,0.007226083689463711
swvl1_rabi_mean,0.00711521521603143
runoff_ratio_zaid_mean,0.007085022071636275
heat_months_30C,0.006577601055333516
swvl1_amplitude,0.0062175291679134066
e_kharif_std,0.00577618256004605
humidity_stress_index,0.005397770978861302
soil_air_diff_rabi_std,0.005173316830502721
e_zaid_std,0.004904770982229846
tp_kharif_std,0.0047090100293462455
swvl1_stability,0.004630752630877363
soil_moisture_seasonality,0.0037986705783156958
soil_air_diff_zaid_mean,0.003535536731405925
e_kharif_mean,0.003170854606364381
e_rabi_std,0.0029252327368268077
e_zaid_mean,0.0027149784077176893
swvl1_zaid_std,0.0018001480140315516
t2m_peak_sin,0.001598811151220015
heat_months_35C,0.00011504493956151257
