state,district,year,arecanut_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,1.71
,,2011 - 2012,1.14
,,2012 - 2013,1.42
,,2013 - 2014,0.95
,,2014 - 2015,0.73
,,2015 - 2016,0.09
,,2016 - 2017,0.11
,,2017 - 2018,0.23
,,2018 - 2019,0.15
,,2019 - 2020,0.29
,,2020 - 2021,0.33
,,2021 - 2022,0.46
,,2022 - 2023,0.32
,North and middle andaman,2000 - 2001,
,,2001 - 2002,
,,2006 - 2007,
,,2010 - 2011,1.77
,,2011 - 2012,1.8
,,2012 - 2013,1.41
,,2013 - 2014,3.01
,,2014 - 2015,2.39
,,2015 - 2016,3.43
,,2016 - 2017,3.11
,,2017 - 2018,2.66
,,2018 - 2019,2.82
,,2019 - 2020,2.27
,,2020 - 2021,2.59
,,2021 - 2022,2.13
,,2022 - 2023,2.36
,South andamans,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,0.99
,,2011 - 2012,1.27
,,2012 - 2013,1.41
,,2013 - 2014,2.51
,,2014 - 2015,2.23
,,2015 - 2016,2.26
,,2016 - 2017,2.61
,,2017 - 2018,8.62
,,2018 - 2019,4.78
,,2019 - 2020,3.7
,,2020 - 2021,5.37
,,2021 - 2022,7.22
,,2022 - 2023,7.03
Andhra Pradesh,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
