state,district,year,banana_whole_year_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,3.64
,,2002 - 2003,6.0
,,2003 - 2004,6.63
,,2004 - 2005,6.08
,,2005 - 2006,26.45
,,2006 - 2007,4.93
,,2010 - 2011,5.78
,,2011 - 2012,6.0
,,2012 - 2013,8.44
,,2013 - 2014,7.65
,,2014 - 2015,9.21
,,2015 - 2016,3.71
,,2016 - 2017,2.2
,,2017 - 2018,0.06
,,2018 - 2019,0.1
,,2019 - 2020,0.65
,,2020 - 2021,1.84
,,2021 - 2022,2.8
,,2022 - 2023,2.33
,North and middle andaman,2000 - 2001,7.89
,,2006 - 2007,8.96
,,2010 - 2011,12.13
,,2011 - 2012,13.32
,,2012 - 2013,10.03
,,2013 - 2014,6.9
,,2014 - 2015,7.98
,,2015 - 2016,9.49
,,2016 - 2017,5.16
,,2017 - 2018,8.45
,,2018 - 2019,10.76
,,2019 - 2020,8.88
,,2020 - 2021,7.81
,,2021 - 2022,6.29
,,2022 - 2023,6.44
,South andamans,2002 - 2003,7.14
,,2003 - 2004,7.55
,,2004 - 2005,9.09
,,2005 - 2006,6.19
,,2006 - 2007,8.59
,,2010 - 2011,15.33
,,2011 - 2012,15.14
,,2012 - 2013,15.13
,,2013 - 2014,11.44
,,2014 - 2015,11.31
,,2015 - 2016,14.22
,,2016 - 2017,14.9
,,2017 - 2018,19.6
,,2018 - 2019,21.45
,,2019 - 2020,21.89
,,2020 - 2021,20.14
,,2021 - 2022,25.87
,,2022 - 2023,24.81
Andhra Pradesh,Anantapur,2000 - 2001,15.21
,,2001 - 2002,0.29
,,2002 - 2003,52.95
,,2003 - 2004,36.17
,,2004 - 2005,52.15
,,2005 - 2006,53.57
,,2006 - 2007,48.93
,,2008 - 2009,44.67
,,2009 - 2010,53.09
,,2010 - 2011,50.69
,,2011 - 2012,63.15
,,2013 - 2014,55.87
,,2014 - 2015,55.53
,,2015 - 2016,62.15
,,2016 - 2017,68.0
,,2017 - 2018,125.79
,,2018 - 2019,106.39
,,2019 - 2020,60.0
,Chittoor,2000 - 2001,19.97
,,2001 - 2002,7.12
,,2002 - 2003,52.96
,,2003 - 2004,36.15
,,2004 - 2005,52.15
,,2005 - 2006,53.57
,,2006 - 2007,48.93
,,2008 - 2009,31.62
,,2009 - 2010,53.09
,,2010 - 2011,50.68
,,2011 - 2012,63.15
,,2013 - 2014,55.17
,,2014 - 2015,53.98
,,2015 - 2016,64.72
,,2016 - 2017,69.64
,,2017 - 2018,199.39
,,2018 - 2019,251.83
,,2019 - 2020,60.0
,East godavari,2000 - 2001,11.26
,,2001 - 2002,11.97
,,2002 - 2003,14.63
,,2003 - 2004,7.07
,,2004 - 2005,9.36
,,2005 - 2006,14.0
,,2006 - 2007,17.63
,,2008 - 2009,18.99
,,2009 - 2010,21.91
,,2010 - 2011,27.32
,,2011 - 2012,22.21
,,2013 - 2014,12.38
,,2014 - 2015,17.53
,,2015 - 2016,23.04
,,2016 - 2017,20.67
,,2017 - 2018,76.95
,,2018 - 2019,80.92
,,2019 - 2020,60.0
,Guntur,2000 - 2001,18.53
,,2001 - 2002,25.72
,,2002 - 2003,22.57
,,2003 - 2004,7.43
,,2004 - 2005,28.52
,,2005 - 2006,26.33
,,2006 - 2007,30.69
,,2008 - 2009,31.7
,,2009 - 2010,23.65
,,2010 - 2011,30.05
,,2011 - 2012,38.66
,,2013 - 2014,37.99
,,2014 - 2015,41.33
,,2015 - 2016,28.33
,,2016 - 2017,37.14
,,2017 - 2018,90.8
,,2018 - 2019,88.81
,,2019 - 2020,60.0
,Kadapa,2000 - 2001,44.7
,,2001 - 2002,32.58
,,2002 - 2003,65.49
,,2003 - 2004,42.12
,,2004 - 2005,58.15
,,2005 - 2006,66.05
,,2006 - 2007,62.08
,,2008 - 2009,54.63
,,2009 - 2010,63.73
,,2010 - 2011,56.12
,,2011 - 2012,65.68
,,2013 - 2014,59.01
,,2014 - 2015,54.51
,,2015 - 2016,71.67
,,2016 - 2017,74.68
,,2017 - 2018,165.86
,,2018 - 2019,123.22
,,2019 - 2020,60.0
,Krishna,2000 - 2001,19.23
,,2001 - 2002,2.54
,,2002 - 2003,15.29
,,2003 - 2004,12.47
,,2004 - 2005,12.46
,,2005 - 2006,16.9
,,2006 - 2007,19.22
,,2008 - 2009,27.34
,,2009 - 2010,21.52
,,2010 - 2011,23.1
,,2011 - 2012,30.46
,,2013 - 2014,36.13
,,2014 - 2015,39.75
,,2015 - 2016,65.06
,,2016 - 2017,37.94
,,2017 - 2018,213.96
,,2018 - 2019,258.07
,,2019 - 2020,60.0
,Kurnool,2000 - 2001,13.87
,,2001 - 2002,11.04
,,2002 - 2003,26.4
,,2003 - 2004,8.05
,,2004 - 2005,29.01
,,2005 - 2006,23.45
,,2006 - 2007,21.49
,,2008 - 2009,26.51
,,2009 - 2010,24.83
,,2010 - 2011,27.23
