state,district,year,groundnut_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,North and middle andaman,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,1.87
,Anakapalli,2022 - 2023,3.09
,Anantapur,2000 - 2001,1.12
,,2001 - 2002,0.44
,,2002 - 2003,0.35
,,2003 - 2004,0.28
,,2004 - 2005,0.8
,,2005 - 2006,0.41
,,2006 - 2007,0.07
,,2007 - 2008,1.26
,,2008 - 2009,0.09
,,2009 - 2010,0.22
,,2010 - 2011,0.55
,,2011 - 2012,0.24
,,2012 - 2013,0.42
,,2013 - 2014,0.4
,,2014 - 2015,0.27
,,2015 - 2016,0.72
,,2016 - 2017,0.23
,,2017 - 2018,1.02
,,2018 - 2019,0.32
,,2019 - 2020,0.75
,,2020 - 2021,0.47
,,2021 - 2022,0.16
,,2022 - 2023,0.45
,Annamayya,2022 - 2023,1.31
,Bapatla,2022 - 2023,3.39
,Chittoor,2000 - 2001,1.14
,,2001 - 2002,0.73
,,2002 - 2003,0.49
,,2003 - 2004,0.68
,,2004 - 2005,0.71
,,2005 - 2006,0.74
,,2006 - 2007,0.53
,,2007 - 2008,1.68
,,2008 - 2009,0.49
,,2009 - 2010,0.58
,,2010 - 2011,1.08
,,2011 - 2012,0.63
,,2012 - 2013,0.64
,,2013 - 2014,1.0
,,2014 - 2015,0.59
,,2015 - 2016,1.14
,,2016 - 2017,0.54
,,2017 - 2018,1.86
,,2018 - 2019,0.9
,,2019 - 2020,1.73
,,2020 - 2021,1.04
,,2021 - 2022,1.15
,,2022 - 2023,1.56
,East godavari,2000 - 2001,1.03
,,2001 - 2002,0.51
,,2002 - 2003,0.96
,,2003 - 2004,0.96
,,2004 - 2005,0.97
,,2005 - 2006,1.12
,,2006 - 2007,0.97
,,2008 - 2009,1.2
,,2009 - 2010,1.11
,,2010 - 2011,1.24
,,2011 - 2012,1.4
,,2013 - 2014,1.87
,,2014 - 2015,1.63
,,2015 - 2016,2.09
,,2016 - 2017,2.24
,,2017 - 2018,2.57
,,2018 - 2019,
,,2019 - 2020,3.0
,,2020 - 2021,3.42
,,2021 - 2022,3.18
,,2022 - 2023,3.1
,Eluru,2022 - 2023,3.25
,Guntur,2000 - 2001,1.09
,,2001 - 2002,0.73
,,2002 - 2003,0.88
,,2003 - 2004,0.96
,,2004 - 2005,0.96
,,2005 - 2006,1.12
,,2006 - 2007,0.97
,,2007 - 2008,
,,2008 - 2009,1.2
,,2009 - 2010,1.11
,,2010 - 2011,1.24
,,2011 - 2012,1.4
,,2012 - 2013,
,,2013 - 2014,1.87
,,2014 - 2015,1.61
,,2015 - 2016,2.09
,,2016 - 2017,2.25
,,2017 - 2018,2.51
,,2018 - 2019,2.9
,,2019 - 2020,3.05
,,2020 - 2021,3.61
,,2021 - 2022,4.35
,,2022 - 2023,3.13
,Kadapa,2000 - 2001,1.16
,,2001 - 2002,0.36
,,2002 - 2003,0.13
,,2003 - 2004,0.2
,,2004 - 2005,0.54
,,2005 - 2006,0.09
,,2006 - 2007,0.27
,,2007 - 2008,1.9
,,2008 - 2009,0.23
,,2009 - 2010,0.32
,,2010 - 2011,0.61
,,2011 - 2012,0.33
,,2012 - 2013,0.25
,,2013 - 2014,1.02
,,2014 - 2015,0.44
,,2015 - 2016,1.28
,,2016 - 2017,0.38
,,2017 - 2018,1.56
,,2018 - 2019,0.52
,,2019 - 2020,1.58
,,2020 - 2021,0.97
,,2021 - 2022,0.81
,,2022 - 2023,1.7
,Kakinada,2022 - 2023,3.0
,Konaseema,2022 - 2023,
,Krishna,2000 - 2001,0.78
,,2001 - 2002,0.8
,,2002 - 2003,0.99
,,2003 - 2004,1.09
,,2004 - 2005,2.41
,,2005 - 2006,2.34
,,2006 - 2007,2.08
,,2007 - 2008,2.0
,,2008 - 2009,2.88
,,2009 - 2010,2.33
,,2010 - 2011,2.8
,,2011 - 2012,1.88
,,2012 - 2013,2.5
,,2013 - 2014,1.92
,,2014 - 2015,2.69
,,2015 - 2016,3.41
,,2016 - 2017,4.41
,,2017 - 2018,2.72
,,2018 - 2019,4.07
