state,district,year,jowar_kharif_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,1.14
,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,2.83
,,2001 - 2002,1.72
,,2002 - 2003,1.56
,,2003 - 2004,2.47
,,2004 - 2005,1.32
,,2005 - 2006,1.03
,,2006 - 2007,0.43
,,2007 - 2008,0.75
,,2008 - 2009,1.24
,,2009 - 2010,0.63
,,2010 - 2011,0.79
,,2011 - 2012,1.05
,,2012 - 2013,0.88
,,2013 - 2014,0.67
,,2014 - 2015,0.32
,,2015 - 2016,0.57
,,2016 - 2017,0.2
,,2017 - 2018,0.53
,,2018 - 2019,0.08
,,2019 - 2020,0.58
,,2020 - 2021,0.64
,,2021 - 2022,0.43
,,2022 - 2023,0.54
,Annamayya,2022 - 2023,0.93
,Bapatla,2022 - 2023,1.13
,Chittoor,2000 - 2001,0.76
,,2001 - 2002,0.91
,,2002 - 2003,0.53
,,2003 - 2004,1.18
,,2004 - 2005,0.92
,,2005 - 2006,0.67
,,2006 - 2007,0.78
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2009 - 2010,1.09
,,2010 - 2011,0.63
,,2011 - 2012,1.23
,,2013 - 2014,0.83
,,2014 - 2015,0.7
,,2015 - 2016,0.88
,,2016 - 2017,0.32
,,2017 - 2018,1.55
,,2018 - 2019,0.13
,,2019 - 2020,0.0
,,2020 - 2021,1.26
,,2021 - 2022,0.75
,,2022 - 2023,0.93
,East godavari,2000 - 2001,0.37
,,2001 - 2002,0.57
,,2002 - 2003,0.33
,,2003 - 2004,2.96
,,2004 - 2005,0.54
,,2005 - 2006,0.56
,,2006 - 2007,0.74
,,2007 - 2008,1.0
,,2008 - 2009,2.55
,,2009 - 2010,1.18
,,2010 - 2011,1.45
,,2011 - 2012,2.15
,,2013 - 2014,1.74
,,2014 - 2015,1.49
,,2015 - 2016,1.11
,,2016 - 2017,1.44
,,2017 - 2018,1.02
,,2018 - 2019,0.13
,,2019 - 2020,0.84
,,2020 - 2021,0.88
,,2021 - 2022,0.71
,,2022 - 2023,
,Eluru,2022 - 2023,1.18
,Guntur,2000 - 2001,0.37
,,2001 - 2002,0.57
,,2002 - 2003,0.33
,,2003 - 2004,2.96
,,2004 - 2005,0.53
,,2005 - 2006,0.55
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,1.18
,,2010 - 2011,1.44
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.75
,,2014 - 2015,1.5
,,2015 - 2016,1.11
,,2016 - 2017,1.44
,,2017 - 2018,1.01
,,2018 - 2019,0.13
,,2019 - 2020,
,,2020 - 2021,1.36
,,2021 - 2022,1.09
,,2022 - 2023,1.0
,Kadapa,2000 - 2001,1.68
,,2001 - 2002,0.52
,,2002 - 2003,0.41
,,2003 - 2004,0.24
,,2004 - 2005,0.46
,,2005 - 2006,1.75
,,2006 - 2007,1.12
,,2007 - 2008,2.0
,,2008 - 2009,2.49
,,2009 - 2010,2.01
,,2010 - 2011,1.45
,,2011 - 2012,0.63
,,2012 - 2013,2.33
,,2013 - 2014,2.1
,,2014 - 2015,1.28
,,2015 - 2016,1.37
,,2016 - 2017,0.96
,,2017 - 2018,1.21
,,2018 - 2019,0.79
,,2019 - 2020,2.15
