state,district,year,linseed_rabi_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,0.25
,,2001 - 2002,0.2
,,2002 - 2003,0.25
,,2003 - 2004,0.29
,,2004 - 2005,0.12
,,2005 - 2006,0.38
,,2006 - 2007,0.27
,,2008 - 2009,0.36
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Chittoor,2000 - 2001,0.2
,,2001 - 2002,0.24
,,2002 - 2003,0.29
,,2003 - 2004,0.26
,,2004 - 2005,0.09
,,2005 - 2006,0.4
,,2006 - 2007,0.25
,,2010 - 2011,0.0
,,2011 - 2012,0.18
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,East godavari,2000 - 2001,0.21
,Guntur,2010 - 2011,0.23
,Kadapa,2008 - 2009,0.37
,,2010 - 2011,0.23
,,2011 - 2012,0.21
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Krishna,2008 - 2009,0.43
,,2010 - 2011,0.2
,Kurnool,2000 - 2001,0.17
,,2002 - 2003,0.5
,,2003 - 2004,0.0
,,2004 - 2005,0.17
,,2005 - 2006,0.33
Assam,Baksa,2005 - 2006,0.58
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.61
,,2009 - 2010,0.59
,,2010 - 2011,0.59
,,2011 - 2012,0.64
,,2012 - 2013,0.64
,,2013 - 2014,0.44
,,2014 - 2015,0.75
,,2015 - 2016,0.76
,,2016 - 2017,0.65
,,2017 - 2018,0.76
,,2018 - 2019,0.76
,,2019 - 2020,0.74
,,2020 - 2021,0.75
,,2021 - 2022,0.74
,,2022 - 2023,0.75
,Barpeta,2000 - 2001,0.55
,,2001 - 2002,0.55
,,2002 - 2003,0.55
,,2003 - 2004,0.55
,,2004 - 2005,0.55
,,2005 - 2006,0.55
,,2006 - 2007,0.55
