state,district,year,mesta_kharif_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2010 - 2011,8.94
,,2011 - 2012,7.8
,,2014 - 2015,7.07
,Chittoor,2000 - 2001,8.83
,,2001 - 2002,8.6
,,2002 - 2003,7.5
,,2003 - 2004,8.0
,,2004 - 2005,8.5
,,2005 - 2006,9.0
,,2006 - 2007,9.0
,,2010 - 2011,9.0
,East godavari,2000 - 2001,8.75
,,2001 - 2002,8.5
,,2002 - 2003,7.5
,,2003 - 2004,8.0
,,2004 - 2005,8.5
,,2005 - 2006,9.17
,,2006 - 2007,9.0
,,2008 - 2009,7.94
,,2011 - 2012,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Guntur,2004 - 2005,8.5
,,2008 - 2009,7.92
,,2010 - 2011,8.94
,,2020 - 2021,10.5
,Kadapa,2000 - 2001,8.67
,Kurnool,2001 - 2002,8.51
,,2002 - 2003,7.56
,,2006 - 2007,8.78
,,2008 - 2009,8.0
,,2010 - 2011,8.95
,,2011 - 2012,7.77
,,2013 - 2014,9.17
,,2015 - 2016,8.25
,,2016 - 2017,9.45
,,2018 - 2019,10.0
,,2022 - 2023,11.33
,Palnadu,2022 - 2023,11.31
,Parvathipuram manyam,2022 - 2023,10.24
,Prakasam,2000 - 2001,9.0
,,2002 - 2003,8.0
,,2006 - 2007,8.77
,Spsr nellore,2000 - 2001,8.83
,Srikakulam,2000 - 2001,7.45
,,2001 - 2002,6.63
,,2002 - 2003,5.62
,,2003 - 2004,6.29
,,2004 - 2005,7.04
,,2005 - 2006,6.68
,,2006 - 2007,7.0
,,2007 - 2008,6.93
,,2008 - 2009,7.34
,,2009 - 2010,9.44
,,2010 - 2011,8.12
,,2011 - 2012,7.14
,,2012 - 2013,5.0
,,2013 - 2014,9.36
,,2014 - 2015,7.53
,,2015 - 2016,7.12
,,2016 - 2017,7.7
,,2017 - 2018,6.33
,,2018 - 2019,9.0
,,2019 - 2020,8.94
,,2020 - 2021,9.36
,,2021 - 2022,10.73
,,2022 - 2023,11.33
,Visakhapatanam,2000 - 2001,8.83
,,2001 - 2002,8.5
,,2002 - 2003,7.56
,,2003 - 2004,7.95
,,2004 - 2005,8.55
,,2005 - 2006,9.14
,,2006 - 2007,8.78
,,2008 - 2009,7.94
,,2009 - 2010,8.29
,,2010 - 2011,8.96
,,2011 - 2012,7.8
,Vizianagaram,2000 - 2001,9.28
,,2001 - 2002,9.1
,,2002 - 2003,8.17
,,2003 - 2004,8.41
,,2004 - 2005,8.96
,,2005 - 2006,9.81
,,2006 - 2007,9.33
,,2007 - 2008,9.4
,,2008 - 2009,8.15
,,2009 - 2010,7.87
,,2010 - 2011,9.19
,,2011 - 2012,7.94
,,2012 - 2013,9.25
,,2013 - 2014,9.08
,,2014 - 2015,6.83
,,2015 - 2016,9.32
,,2016 - 2017,10.78
,,2017 - 2018,11.13
,,2018 - 2019,10.64
,,2019 - 2020,11.33
,,2020 - 2021,10.72
,,2021 - 2022,11.07
,,2022 - 2023,11.98
Assam,Baksa,2005 - 2006,3.89
,,2006 - 2007,3.89
,,2007 - 2008,3.89
,,2008 - 2009,3.89
,,2009 - 2010,3.89
,,2010 - 2011,3.89
,,2011 - 2012,10.34
,,2012 - 2013,4.06
,,2013 - 2014,5.28
,,2014 - 2015,4.21
,,2015 - 2016,11.75
,,2016 - 2017,7.08
,,2017 - 2018,7.11
,,2018 - 2019,7.22
,,2019 - 2020,7.5
,,2020 - 2021,3.74
,,2021 - 2022,3.69
,,2022 - 2023,3.76
,Barpeta,2000 - 2001,5.11
,,2001 - 2002,5.11
,,2002 - 2003,5.11
,,2003 - 2004,5.11
,,2004 - 2005,5.11
,,2005 - 2006,5.11
,,2006 - 2007,5.11
,,2007 - 2008,5.11
,,2008 - 2009,5.11
,,2009 - 2010,5.11
,,2010 - 2011,5.11
,,2011 - 2012,8.04
,,2012 - 2013,5.46
,,2013 - 2014,8.02
,,2014 - 2015,5.66
,,2015 - 2016,9.97
,,2016 - 2017,7.89
,,2017 - 2018,8.4
,,2018 - 2019,8.34
,,2019 - 2020,8.24
,,2020 - 2021,8.22
,,2021 - 2022,8.44
,,2022 - 2023,8.49
,Biswanath,2020 - 2021,5.75
,,2021 - 2022,5.83
,Bongaigaon,2000 - 2001,5.62
,,2001 - 2002,5.72
