state,district,year,onion_rabi_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,23.89
,,2001 - 2002,22.28
,,2002 - 2003,17.94
,,2003 - 2004,20.9
,,2004 - 2005,20.64
,,2005 - 2006,23.79
,,2006 - 2007,24.4
,,2007 - 2008,
,,2008 - 2009,23.87
,,2009 - 2010,24.63
,,2010 - 2011,26.91
,,2011 - 2012,20.48
,,2012 - 2013,
,,2013 - 2014,23.43
,,2014 - 2015,22.78
,,2015 - 2016,16.92
,,2016 - 2017,26.98
,,2017 - 2018,119.25
,,2018 - 2019,129.42
,,2019 - 2020,20.95
,Chittoor,2000 - 2001,23.89
,,2001 - 2002,22.28
,,2002 - 2003,17.87
,,2003 - 2004,20.9
,,2004 - 2005,20.64
,,2005 - 2006,23.79
,,2006 - 2007,24.4
,,2008 - 2009,23.87
,,2009 - 2010,24.63
,,2010 - 2011,26.91
,,2011 - 2012,20.47
,,2013 - 2014,23.43
,,2014 - 2015,22.78
,,2015 - 2016,16.92
,,2016 - 2017,21.93
,,2017 - 2018,16.19
,,2018 - 2019,13.96
,,2019 - 2020,22.9
,East godavari,2000 - 2001,17.58
,,2001 - 2002,15.82
,,2002 - 2003,12.59
,,2003 - 2004,11.0
,,2004 - 2005,17.52
,,2005 - 2006,19.8
,,2006 - 2007,11.93
,,2007 - 2008,
,,2008 - 2009,9.63
,,2009 - 2010,25.38
,,2010 - 2011,13.11
,,2011 - 2012,25.61
,,2012 - 2013,
,,2013 - 2014,18.5
,,2014 - 2015,17.67
,,2015 - 2016,14.2
,,2016 - 2017,22.33
,,2017 - 2018,100.0
,,2018 - 2019,196.0
,,2019 - 2020,22.08
,Guntur,2000 - 2001,18.13
,,2001 - 2002,13.03
,,2002 - 2003,18.41
,,2003 - 2004,7.86
,,2004 - 2005,13.56
,,2005 - 2006,16.09
,,2006 - 2007,13.24
,,2007 - 2008,
,,2008 - 2009,20.02
,,2009 - 2010,26.7
,,2010 - 2011,4.94
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,18.53
,,2014 - 2015,17.68
,,2015 - 2016,14.22
,,2016 - 2017,22.26
,,2017 - 2018,22.73
,,2018 - 2019,137.33
,,2019 - 2020,
,Kadapa,2000 - 2001,28.91
,,2001 - 2002,15.23
,,2002 - 2003,13.79
,,2003 - 2004,16.73
,,2004 - 2005,23.67
,,2005 - 2006,24.11
,,2006 - 2007,31.33
,,2007 - 2008,
,,2008 - 2009,17.94
,,2009 - 2010,26.88
,,2010 - 2011,22.09
,,2011 - 2012,3.05
,,2012 - 2013,5.0
,,2013 - 2014,10.45
,,2014 - 2015,17.21
,,2015 - 2016,12.89
,,2016 - 2017,13.38
,,2017 - 2018,34.12
,,2018 - 2019,54.5
,,2019 - 2020,21.45
,Krishna,2000 - 2001,17.59
,,2001 - 2002,15.81
,,2002 - 2003,12.59
,,2003 - 2004,11.0
,,2004 - 2005,17.52
,,2005 - 2006,19.79
,,2006 - 2007,11.93
,,2008 - 2009,9.63
,,2009 - 2010,25.38
,,2010 - 2011,13.06
,,2011 - 2012,25.6
,,2013 - 2014,18.5
,,2014 - 2015,17.69
,,2016 - 2017,
,Kurnool,2000 - 2001,21.7
,,2001 - 2002,25.32
,,2002 - 2003,19.74
,,2003 - 2004,22.74
,,2004 - 2005,18.81
,,2005 - 2006,23.71
,,2006 - 2007,22.63
,,2007 - 2008,18.5
,,2008 - 2009,24.66
,,2009 - 2010,24.21
,,2010 - 2011,27.92
,,2011 - 2012,27.83
,,2012 - 2013,15.0
,,2013 - 2014,29.07
,,2014 - 2015,23.84
,,2015 - 2016,19.68
,,2016 - 2017,25.11
,,2017 - 2018,24.85
,,2018 - 2019,57.84
,,2019 - 2020,20.85
,Prakasam,2000 - 2001,17.57
,,2001 - 2002,15.81
,,2002 - 2003,12.59
,,2003 - 2004,11.0
,,2004 - 2005,17.51
,,2005 - 2006,19.81
,,2006 - 2007,11.92
,,2008 - 2009,9.61
,,2009 - 2010,25.39
,,2010 - 2011,13.05
,,2011 - 2012,25.6
,,2012 - 2013,
,,2013 - 2014,18.52
,,2014 - 2015,17.67
,,2015 - 2016,14.22
,,2016 - 2017,22.33
,,2017 - 2018,69.57
,,2018 - 2019,140.0
,,2019 - 2020,
,Spsr nellore,2000 - 2001,
,,2001 - 2002,16.0
,,2002 - 2003,13.0
,,2003 - 2004,11.0
,,2004 - 2005,17.67
,,2005 - 2006,19.78
,,2006 - 2007,12.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,25.6
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,14.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Srikakulam,2000 - 2001,17.15
,,2001 - 2002,17.72
,,2002 - 2003,9.08
,,2003 - 2004,12.24
,,2004 - 2005,18.77
,,2005 - 2006,20.91
,,2006 - 2007,11.41
,,2007 - 2008,11.0
,,2008 - 2009,8.89
,,2009 - 2010,25.36
,,2010 - 2011,15.03
,,2011 - 2012,25.6
,,2012 - 2013,21.0
,,2013 - 2014,18.52
,,2014 - 2015,17.67
,,2015 - 2016,14.22
,,2016 - 2017,22.26
,,2017 - 2018,27.47
,,2018 - 2019,36.24
,,2019 - 2020,21.84
,Visakhapatanam,2000 - 2001,17.58
,,2001 - 2002,15.82
,,2002 - 2003,12.59
,,2003 - 2004,11.01
,,2004 - 2005,17.52
,,2005 - 2006,19.79
,,2006 - 2007,11.92
,,2008 - 2009,9.62
,,2009 - 2010,25.39
,,2010 - 2011,13.06
,,2011 - 2012,25.6
,,2013 - 2014,18.52
,,2014 - 2015,17.67
,,2015 - 2016,14.21
,,2016 - 2017,22.26
,,2017 - 2018,15.63
,,2018 - 2019,13.92
,,2019 - 2020,22.2
,Vizianagaram,2000 - 2001,17.58
,,2001 - 2002,15.82
,,2002 - 2003,12.59
,,2003 - 2004,11.0
,,2004 - 2005,17.52
,,2005 - 2006,19.79
,,2006 - 2007,11.93
,,2008 - 2009,9.63
,,2009 - 2010,25.39
,,2010 - 2011,13.06
,,2011 - 2012,25.6
,,2013 - 2014,18.52
,,2014 - 2015,17.67
,,2015 - 2016,14.22
,,2016 - 2017,22.26
,,2017 - 2018,16.39
,,2018 - 2019,23.47
,,2019 - 2020,21.87
,West godavari,2001 - 2002,16.0
,,2015 - 2016,14.0
Assam,Baksa,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barpeta,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Biswanath,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bongaigaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cachar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Charaideo,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chirang,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darrang,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhemaji,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
