state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
Arunachal Pradesh,Anjaw,2016 - 2017,1.4
,,2017 - 2018,1.61
,,2018 - 2019,1.61
,,2019 - 2020,1.6
,,2020 - 2021,1.63
,,2021 - 2022,1.64
,,2022 - 2023,1.64
,Changlang,2016 - 2017,1.31
,,2017 - 2018,1.3
,,2018 - 2019,3.22
,,2019 - 2020,1.33
,,2020 - 2021,1.34
,,2021 - 2022,1.34
,,2022 - 2023,1.34
,Dibang valley,2016 - 2017,0.79
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,East kameng,2016 - 2017,1.15
,,2017 - 2018,1.16
,,2018 - 2019,1.16
,,2019 - 2020,1.19
,,2020 - 2021,1.2
,,2021 - 2022,1.19
,,2022 - 2023,1.33
,East siang,2016 - 2017,1.17
,,2017 - 2018,1.16
,,2018 - 2019,1.34
,,2019 - 2020,1.34
,,2020 - 2021,1.35
,,2021 - 2022,1.36
,,2022 - 2023,1.39
,Kamle,2018 - 2019,0.91
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.96
,Kra daadi,2016 - 2017,1.51
,,2017 - 2018,1.67
,,2018 - 2019,1.67
,,2019 - 2020,1.61
,,2020 - 2021,1.61
,,2021 - 2022,1.61
,,2022 - 2023,4.11
,Kurung kumey,2016 - 2017,1.42
,,2017 - 2018,1.65
,,2018 - 2019,1.65
,,2019 - 2020,1.59
,,2020 - 2021,1.59
,,2021 - 2022,1.57
,,2022 - 2023,1.57
,Leparada,2019 - 2020,2.35
,,2020 - 2021,1.98
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Lohit,2016 - 2017,1.35
,,2017 - 2018,1.47
,,2018 - 2019,1.47
,,2019 - 2020,1.46
,,2020 - 2021,1.47
,,2021 - 2022,1.47
,,2022 - 2023,1.48
,Longding,2016 - 2017,1.03
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.18
,,2020 - 2021,1.2
,,2021 - 2022,1.21
,,2022 - 2023,1.21
,Lower dibang valley,2016 - 2017,1.29
,,2017 - 2018,1.29
,,2018 - 2019,1.29
,,2019 - 2020,1.29
,,2020 - 2021,1.29
,,2021 - 2022,1.29
,,2022 - 2023,1.31
,Lower siang,2018 - 2019,1.26
,,2019 - 2020,1.28
,,2020 - 2021,1.28
,,2021 - 2022,1.28
,,2022 - 2023,1.3
,Lower subansiri,2016 - 2017,2.46
,,2017 - 2018,2.26
,,2018 - 2019,3.14
,,2019 - 2020,3.11
,,2020 - 2021,3.13
,,2021 - 2022,3.11
,,2022 - 2023,2.11
,Namsai,2016 - 2017,1.21
,,2017 - 2018,1.16
,,2018 - 2019,1.16
,,2019 - 2020,1.17
,,2020 - 2021,1.17
,,2021 - 2022,1.17
,,2022 - 2023,1.17
,Pakke kessang,2019 - 2020,1.17
,,2020 - 2021,1.2
,,2021 - 2022,1.19
,,2022 - 2023,1.52
,Papum pare,2016 - 2017,2.56
,,2017 - 2018,2.29
,,2018 - 2019,2.29
,,2019 - 2020,2.26
,,2020 - 2021,2.28
,,2021 - 2022,2.28
,,2022 - 2023,2.28
,Shi yomi,2019 - 2020,3.79
,,2020 - 2021,1.68
,,2021 - 2022,1.74
,,2022 - 2023,1.44
,Siang,2016 - 2017,1.05
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.14
,,2020 - 2021,1.95
,,2021 - 2022,1.96
,,2022 - 2023,1.91
,Tirap,2016 - 2017,1.52
,,2017 - 2018,1.8
,,2018 - 2019,1.8
,,2019 - 2020,1.88
,,2020 - 2021,1.92
,,2021 - 2022,1.9
,,2022 - 2023,1.74
,Upper siang,2016 - 2017,1.68
,,2017 - 2018,1.76
,,2018 - 2019,1.76
,,2019 - 2020,1.76
,,2020 - 2021,1.78
,,2021 - 2022,1.77
,,2022 - 2023,1.77
,Upper subansiri,2016 - 2017,1.57
,,2017 - 2018,1.67
,,2018 - 2019,1.37
,,2019 - 2020,1.36
,,2020 - 2021,1.37
,,2021 - 2022,1.37
,,2022 - 2023,1.37
,West kameng,2016 - 2017,1.96
,,2017 - 2018,1.89
,,2018 - 2019,1.89
,,2019 - 2020,1.89
,,2020 - 2021,1.9
,,2021 - 2022,1.9
,,2022 - 2023,2.01
,West siang,2016 - 2017,2.17
,,2017 - 2018,2.07
,,2018 - 2019,4.45
,,2019 - 2020,5.1
,,2020 - 2021,1.83
,,2021 - 2022,1.87
,,2022 - 2023,1.87
Assam,Baksa,2005 - 2006,0.78
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.79
,,2009 - 2010,0.78
,,2010 - 2011,0.78
,,2011 - 2012,0.81
,,2012 - 2013,0.82
,,2013 - 2014,0.97
,,2014 - 2015,1.12
,,2015 - 2016,0.95
,,2016 - 2017,1.14
,,2017 - 2018,0.94
,,2018 - 2019,1.05
,,2019 - 2020,1.08
,,2020 - 2021,1.06
,,2021 - 2022,1.07
,,2022 - 2023,1.08
,Barpeta,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.8
