state,district,year,potato_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,
,Anantapur,2000 - 2001,8.5
,,2002 - 2003,8.5
,,2004 - 2005,10.0
,,2010 - 2011,11.24
,,2011 - 2012,10.06
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Annamayya,2022 - 2023,
,Chittoor,2000 - 2001,8.54
,,2001 - 2002,9.23
,,2002 - 2003,8.68
,,2003 - 2004,9.33
,,2004 - 2005,9.9
,,2005 - 2006,9.79
,,2006 - 2007,8.46
,,2008 - 2009,9.02
,,2009 - 2010,8.63
,,2010 - 2011,9.51
,,2011 - 2012,13.21
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Guntur,2016 - 2017,
,,2021 - 2022,
,Kadapa,2010 - 2011,11.0
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,Kurnool,2002 - 2003,5.0
,,2004 - 2005,9.9
,,2008 - 2009,9.0
,,2009 - 2010,8.63
,,2010 - 2011,11.21
,,2011 - 2012,10.03
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Spsr nellore,2013 - 2014,
,Sri sathya sai,2022 - 2023,
,Srikakulam,2000 - 2001,8.57
,,2001 - 2002,6.5
,,2014 - 2015,
,Visakhapatanam,2000 - 2001,8.55
,,2001 - 2002,6.46
,,2002 - 2003,8.68
,,2003 - 2004,9.33
,,2004 - 2005,9.9
,,2005 - 2006,9.79
,,2006 - 2007,8.46
,,2008 - 2009,9.02
,,2009 - 2010,8.64
,,2010 - 2011,11.21
,,2011 - 2012,10.04
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Vizianagaram,2010 - 2011,11.0
,,2012 - 2013,
Arunachal Pradesh,Anjaw,2004 - 2005,8.0
,,2005 - 2006,8.0
,,2006 - 2007,9.07
,,2007 - 2008,8.14
,,2008 - 2009,8.14
,,2009 - 2010,9.0
,,2010 - 2011,8.5
,,2011 - 2012,8.91
,,2012 - 2013,8.52
,,2013 - 2014,8.52
,,2014 - 2015,4.18
,,2015 - 2016,5.37
,,2016 - 2017,5.37
,,2017 - 2018,5.69
,,2018 - 2019,5.8
,,2019 - 2020,5.83
,,2020 - 2021,5.9
,,2021 - 2022,5.9
,,2022 - 2023,5.91
,Changlang,2000 - 2001,4.29
,,2001 - 2002,5.32
,,2002 - 2003,5.8
,,2003 - 2004,5.5
,,2004 - 2005,9.22
,,2005 - 2006,6.5
,,2006 - 2007,6.71
,,2007 - 2008,5.81
,,2008 - 2009,6.0
,,2009 - 2010,6.49
,,2010 - 2011,6.33
,,2011 - 2012,6.65
,,2012 - 2013,6.5
,,2013 - 2014,6.5
,,2014 - 2015,8.53
,,2015 - 2016,6.59
,,2016 - 2017,6.59
,,2017 - 2018,6.71
,,2018 - 2019,6.74
,,2019 - 2020,6.75
,,2020 - 2021,6.79
,,2021 - 2022,6.78
,,2022 - 2023,6.78
,Dibang valley,2000 - 2001,5.64
,,2001 - 2002,7.0
,,2002 - 2003,6.5
,,2003 - 2004,7.0
,,2004 - 2005,5.93
,,2005 - 2006,7.0
,,2006 - 2007,6.28
,,2007 - 2008,5.96
,,2008 - 2009,6.35
,,2009 - 2010,6.35
,,2010 - 2011,5.5
,,2011 - 2012,5.79
,,2012 - 2013,5.86
,,2013 - 2014,6.04
,,2014 - 2015,6.24
,,2015 - 2016,5.5
,,2016 - 2017,5.5
,,2017 - 2018,5.65
,,2018 - 2019,5.41
,,2019 - 2020,5.72
,,2020 - 2021,5.76
,,2021 - 2022,5.76
,,2022 - 2023,5.76
,East kameng,2000 - 2001,4.59
