state,district,year,ragi_kharif_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,1.03
,Anakapalli,2022 - 2023,1.0
,Anantapur,2000 - 2001,2.56
,,2001 - 2002,2.42
,,2002 - 2003,2.35
,,2003 - 2004,1.06
,,2004 - 2005,1.85
,,2005 - 2006,1.91
,,2006 - 2007,1.82
,,2007 - 2008,2.0
,,2008 - 2009,2.52
,,2009 - 2010,1.56
,,2010 - 2011,1.78
,,2011 - 2012,1.7
,,2012 - 2013,1.5
,,2013 - 2014,1.54
,,2014 - 2015,1.51
,,2015 - 2016,2.18
,,2016 - 2017,2.12
,,2017 - 2018,2.34
,,2018 - 2019,1.99
,,2019 - 2020,1.86
,,2020 - 2021,1.69
,,2021 - 2022,0.62
,,2022 - 2023,1.13
,Annamayya,2022 - 2023,1.54
,Bapatla,2022 - 2023,
,Chittoor,2000 - 2001,1.07
,,2001 - 2002,0.74
,,2002 - 2003,0.96
,,2003 - 2004,0.84
,,2004 - 2005,1.28
,,2005 - 2006,1.23
,,2006 - 2007,0.86
,,2007 - 2008,0.75
,,2008 - 2009,0.58
,,2009 - 2010,1.25
,,2010 - 2011,1.44
,,2011 - 2012,1.09
,,2012 - 2013,1.0
,,2013 - 2014,1.31
,,2014 - 2015,0.81
,,2015 - 2016,1.07
,,2016 - 2017,0.4
,,2017 - 2018,1.26
,,2018 - 2019,1.62
,,2019 - 2020,1.55
,,2020 - 2021,1.16
,,2021 - 2022,1.24
,,2022 - 2023,1.24
,East godavari,2000 - 2001,0.95
,,2001 - 2002,1.11
,,2002 - 2003,0.86
,,2003 - 2004,1.35
,,2004 - 2005,0.99
,,2005 - 2006,0.91
,,2006 - 2007,0.92
,,2008 - 2009,0.91
,,2009 - 2010,1.0
,,2010 - 2011,1.01
,,2011 - 2012,0.71
,,2012 - 2013,1.0
,,2013 - 2014,0.84
,,2014 - 2015,0.95
,,2015 - 2016,0.85
,,2016 - 2017,1.0
,,2017 - 2018,0.99
,,2018 - 2019,1.09
,,2019 - 2020,0.86
,,2020 - 2021,1.16
,,2021 - 2022,0.87
,Eluru,2022 - 2023,1.0
,Guntur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2011 - 2012,
,,2013 - 2014,0.83
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kadapa,2000 - 2001,1.61
,,2001 - 2002,1.24
,,2002 - 2003,1.55
,,2003 - 2004,0.89
,,2004 - 2005,1.4
,,2005 - 2006,1.35
,,2006 - 2007,1.06
