state,district,year,sannhamp_kharif_yield_tonne_per_hectare
Andhra Pradesh,East godavari,2013 - 2014,
,Guntur,2013 - 2014,
,,2019 - 2020,0.0
,Kurnool,2013 - 2014,
,Prakasam,2013 - 2014,
,,2019 - 2020,0.0
,Spsr nellore,2019 - 2020,
,Srikakulam,2019 - 2020,
,Visakhapatanam,2019 - 2020,0.0
,Vizianagaram,2013 - 2014,
,,2019 - 2020,0.0
Bihar,Araria,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.86
,,2007 - 2008,4.57
,,2008 - 2009,4.57
,,2009 - 2010,0.82
,Arwal,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,4.17
,,2008 - 2009,4.17
,,2009 - 2010,0.83
,,2012 - 2013,0.86
,,2013 - 2014,0.83
,Aurangabad,2005 - 2006,
,,2006 - 2007,1.0
,Banka,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.43
,,2008 - 2009,4.44
,,2009 - 2010,0.82
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.8
,,2015 - 2016,0.81
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Begusarai,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.83
,,2007 - 2008,4.44
,,2009 - 2010,0.8
,,2012 - 2013,0.81
,,2013 - 2014,0.77
,,2014 - 2015,0.83
,,2015 - 2016,0.83
,,2016 - 2017,0.81
,,2019 - 2020,0.78
,,2020 - 2021,0.79
,,2021 - 2022,0.83
,Bhagalpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.44
,,2008 - 2009,4.45
,,2009 - 2010,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.8
,,2022 - 2023,0.81
,Bhojpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.5
,,2007 - 2008,4.17
,,2008 - 2009,4.17
,,2009 - 2010,0.81
,Buxar,2006 - 2007,0.5
,,2007 - 2008,3.33
,,2009 - 2010,0.75
,Darbhanga,2004 - 2005,
,Gaya,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.47
,,2008 - 2009,4.46
,,2009 - 2010,0.82
,,2012 - 2013,0.8
,,2013 - 2014,0.86
,,2014 - 2015,0.81
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Gopalganj,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.2
,,2008 - 2009,4.26
,,2009 - 2010,0.82
,,2012 - 2013,0.86
,Jehanabad,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.83
,,2007 - 2008,4.44
,,2008 - 2009,5.56
,,2009 - 2010,1.0
,,2012 - 2013,0.81
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2019 - 2020,0.83
,Kaimur (bhabua),2002 - 2003,
,,2005 - 2006,
,Katihar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.87
,,2007 - 2008,4.57
,,2008 - 2009,4.59
,,2009 - 2010,0.82
,,2018 - 2019,0.75
,,2019 - 2020,0.82
,,2020 - 2021,0.8
,Khagaria,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.38
,,2008 - 2009,4.41
,,2009 - 2010,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.81
,,2022 - 2023,0.8
,Lakhisarai,2002 - 2003,
,,2003 - 2004,
,,2006 - 2007,0.67
,Madhepura,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.81
,,2007 - 2008,4.43
,,2008 - 2009,4.43
,,2009 - 2010,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.8
,,2015 - 2016,0.81
,,2016 - 2017,0.81
,,2017 - 2018,0.8
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.78
,Madhubani,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.79
,,2007 - 2008,4.39
,,2008 - 2009,4.48
,,2009 - 2010,0.82
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.83
,,2015 - 2016,0.86
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,0.75
,,2019 - 2020,0.67
,,2022 - 2023,1.0
,Munger,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.35
,,2009 - 2010,0.81
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Muzaffarpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.67
,,2007 - 2008,3.7
,,2008 - 2009,4.76
,Nalanda,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.57
,,2007 - 2008,3.85
,,2008 - 2009,3.85
,,2016 - 2017,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Nawada,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.83
,,2007 - 2008,4.46
,,2008 - 2009,4.43
,,2009 - 2010,0.82
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.8
,,2015 - 2016,0.81
,,2016 - 2017,0.79
,,2017 - 2018,0.8
,,2018 - 2019,0.81
,,2019 - 2020,0.82
,,2020 - 2021,0.79
,,2021 - 2022,0.79
,,2022 - 2023,0.85
,Pashchim champaran,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Patna,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.5
,,2008 - 2009,2.78
,,2012 - 2013,0.75
,Purbi champaran,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,5.55
,,2008 - 2009,55.55
,,2009 - 2010,1.0
,Rohtas,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,0.57
,Saharsa,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.83
,,2007 - 2008,4.42
,,2008 - 2009,4.44
,,2009 - 2010,0.81
,,2012 - 2013,0.79
,,2013 - 2014,0.8
,,2014 - 2015,0.86
,,2015 - 2016,0.81
,,2016 - 2017,0.82
,,2017 - 2018,0.81
,,2018 - 2019,0.82
,,2019 - 2020,0.81
,,2020 - 2021,0.79
,,2021 - 2022,0.81
,,2022 - 2023,0.83
,Samastipur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,4.63
,,2009 - 2010,0.82
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.79
,,2016 - 2017,0.79
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.8
,Saran,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.86
,,2007 - 2008,4.21
,,2008 - 2009,5.56
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.8
,,2016 - 2017,0.82
,,2017 - 2018,0.79
,,2018 - 2019,0.8
,,2019 - 2020,0.79
,,2020 - 2021,0.78
,,2021 - 2022,0.78
,,2022 - 2023,0.82
,Sheikhpura,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2012 - 2013,0.75
,,2017 - 2018,1.0
,Sheohar,2005 - 2006,
,,2006 - 2007,0.75
,Sitamarhi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.83
,,2007 - 2008,4.44
,,2008 - 2009,4.44
,,2009 - 2010,0.82
,Siwan,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,0.82
,,2007 - 2008,4.2
,,2008 - 2009,4.19
,,2009 - 2010,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.81
,,2016 - 2017,0.81
,,2017 - 2018,0.81
,,2018 - 2019,0.81
,,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Supaul,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,5.55
,,2009 - 2010,0.8
,,2012 - 2013,0.81
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.81
,Vaishali,2005 - 2006,
,,2007 - 2008,3.7
,,2008 - 2009,3.7
,,2014 - 2015,0.8
Chhattisgarh,Balod,2011 - 2012,
,,2016 - 2017,0.4
,,2020 - 2021,0.0
,Baloda bazar,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.44
,,2014 - 2015,0.42
,,2015 - 2016,0.58
,,2016 - 2017,0.44
,,2017 - 2018,0.45
,Balrampur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.19
,,2014 - 2015,0.3
,,2015 - 2016,0.61
,,2016 - 2017,0.63
,,2017 - 2018,0.61
,,2018 - 2019,0.61
,,2019 - 2020,0.66
,,2020 - 2021,0.6
,,2021 - 2022,0.77
,,2022 - 2023,0.66
,Bastar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.45
,,2014 - 2015,0.43
,,2015 - 2016,0.33
,,2016 - 2017,0.4
,,2017 - 2018,0.41
,,2018 - 2019,0.39
,,2019 - 2020,0.5
,,2020 - 2021,0.06
,Bemetara,2012 - 2013,
,,2021 - 2022,0.33
,Bijapur,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.43
,,2014 - 2015,0.25
,,2015 - 2016,0.25
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2022 - 2023,0.6
,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.38
,,2014 - 2015,0.38
,,2015 - 2016,0.49
,,2016 - 2017,0.45
,,2017 - 2018,0.38
,,2018 - 2019,0.49
,Dantewada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.33
,,2014 - 2015,0.42
,,2015 - 2016,0.29
,,2016 - 2017,0.43
,,2017 - 2018,0.25
,,2018 - 2019,0.5
,,2019 - 2020,0.2
,,2020 - 2021,0.0
,Dhamtari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.0
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2018 - 2019,1.0
,,2020 - 2021,6.0
,Durg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,0.29
,,2015 - 2016,0.36
