state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,8.0
,,2006 - 2007,2.5
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,North and middle andaman,2000 - 2001,26.5
,,2001 - 2002,29.37
,,2006 - 2007,21.04
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2002 - 2003,30.24
,,2003 - 2004,10.74
,,2004 - 2005,10.74
,,2005 - 2006,19.12
,,2006 - 2007,18.68
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,
,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,89.42
,,2001 - 2002,86.67
,,2002 - 2003,68.33
,,2003 - 2004,71.33
,,2004 - 2005,85.18
,,2005 - 2006,90.8
,,2006 - 2007,91.26
,,2008 - 2009,93.93
,,2009 - 2010,89.0
,,2010 - 2011,89.28
,,2011 - 2012,95.58
,,2013 - 2014,94.32
,,2014 - 2015,81.87
,,2015 - 2016,82.58
,,2016 - 2017,100.0
,,2017 - 2018,104.43
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Annamayya,2022 - 2023,
,Bapatla,2022 - 2023,
,Chittoor,2000 - 2001,91.21
,,2001 - 2002,86.04
,,2002 - 2003,68.08
,,2003 - 2004,70.1
,,2004 - 2005,85.07
,,2005 - 2006,87.85
,,2006 - 2007,92.11
,,2007 - 2008,93.97
,,2008 - 2009,84.11
,,2009 - 2010,83.15
,,2010 - 2011,83.38
,,2011 - 2012,90.73
,,2012 - 2013,89.0
,,2013 - 2014,91.04
,,2014 - 2015,79.05
,,2015 - 2016,80.76
,,2016 - 2017,87.83
,,2017 - 2018,95.58
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East godavari,2000 - 2001,88.93
,,2001 - 2002,89.98
,,2002 - 2003,82.31
,,2003 - 2004,85.83
,,2004 - 2005,84.99
,,2005 - 2006,79.57
,,2006 - 2007,89.04
,,2007 - 2008,87.53
,,2008 - 2009,85.28
,,2009 - 2010,93.54
,,2010 - 2011,83.25
,,2011 - 2012,84.76
,,2012 - 2013,79.36
,,2013 - 2014,84.1
,,2014 - 2015,85.16
,,2015 - 2016,89.1
,,2016 - 2017,89.72
,,2017 - 2018,88.42
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Eluru,2022 - 2023,
,Guntur,2000 - 2001,79.85
,,2001 - 2002,81.81
,,2002 - 2003,66.13
,,2003 - 2004,71.47
,,2004 - 2005,76.41
,,2005 - 2006,71.06
,,2006 - 2007,78.98
,,2007 - 2008,58.5
,,2008 - 2009,75.33
,,2009 - 2010,100.74
,,2010 - 2011,85.28
,,2011 - 2012,104.0
,,2013 - 2014,102.86
,,2014 - 2015,98.09
,,2015 - 2016,103.19
,,2016 - 2017,106.15
,,2017 - 2018,106.59
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kadapa,2000 - 2001,92.36
,,2001 - 2002,93.11
,,2002 - 2003,73.86
,,2003 - 2004,72.49
,,2004 - 2005,89.03
,,2005 - 2006,95.8
,,2006 - 2007,97.8
,,2007 - 2008,82.0
,,2008 - 2009,75.0
,,2009 - 2010,87.63
,,2010 - 2011,90.31
,,2011 - 2012,81.39
,,2013 - 2014,64.4
,,2014 - 2015,82.09
,,2015 - 2016,74.66
,,2016 - 2017,77.57
,,2017 - 2018,97.29
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kakinada,2022 - 2023,
,Krishna,2000 - 2001,109.22
,,2001 - 2002,104.04
,,2002 - 2003,100.98
,,2003 - 2004,75.44
,,2004 - 2005,100.77
,,2005 - 2006,83.49
,,2006 - 2007,91.4
,,2007 - 2008,103.44
,,2008 - 2009,95.37
,,2009 - 2010,87.36
,,2010 - 2011,94.63
,,2011 - 2012,101.21
,,2012 - 2013,85.88
,,2013 - 2014,89.8
,,2014 - 2015,83.79
,,2015 - 2016,102.48
,,2016 - 2017,90.47
,,2017 - 2018,92.19
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kurnool,2000 - 2001,71.89
,,2001 - 2002,86.98
,,2002 - 2003,73.83
,,2003 - 2004,72.5
,,2004 - 2005,87.52
,,2005 - 2006,96.66
,,2006 - 2007,93.8
,,2007 - 2008,71.5
,,2008 - 2009,89.84
,,2009 - 2010,82.62
,,2010 - 2011,97.19
,,2011 - 2012,101.79
,,2012 - 2013,69.0
,,2013 - 2014,107.08
,,2014 - 2015,116.79
,,2015 - 2016,99.6
,,2016 - 2017,105.19
,,2017 - 2018,130.81
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nandyal,2022 - 2023,
,Ntr,2022 - 2023,
,Palnadu,2022 - 2023,
