state,district,year,tobacco_whole_year_yield_tonne_per_hectare
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,
,Anakapalli,2022 - 2023,
,Anantapur,2000 - 2001,1.28
,,2001 - 2002,1.0
,,2002 - 2003,1.76
,,2003 - 2004,1.25
,,2004 - 2005,1.08
,,2005 - 2006,1.0
,,2008 - 2009,1.6
,,2009 - 2010,1.68
,,2010 - 2011,1.62
,,2011 - 2012,1.61
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bapatla,2022 - 2023,
,Chittoor,2000 - 2001,0.93
,,2001 - 2002,1.15
,,2002 - 2003,1.62
,,2003 - 2004,1.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.18
,,2008 - 2009,1.6
,,2009 - 2010,1.69
,,2010 - 2011,1.76
,,2011 - 2012,1.61
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,East godavari,2000 - 2001,1.62
,,2001 - 2002,1.59
,,2002 - 2003,2.76
,,2003 - 2004,3.02
,,2004 - 2005,1.39
,,2005 - 2006,1.81
,,2006 - 2007,1.85
,,2007 - 2008,1.0
,,2008 - 2009,3.99
,,2009 - 2010,2.09
,,2010 - 2011,2.45
,,2011 - 2012,2.8
,,2012 - 2013,3.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Eluru,2022 - 2023,
,Guntur,2000 - 2001,0.0
,,2001 - 2002,1.57
,,2002 - 2003,1.08
,,2003 - 2004,2.5
,,2004 - 2005,1.81
,,2005 - 2006,1.85
,,2006 - 2007,2.12
,,2007 - 2008,2.5
,,2008 - 2009,2.54
,,2009 - 2010,2.28
,,2010 - 2011,2.61
,,2011 - 2012,3.3
,,2012 - 2013,3.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kadapa,2000 - 2001,1.28
,,2001 - 2002,1.01
,,2002 - 2003,0.98
,,2003 - 2004,1.26
,,2004 - 2005,1.11
,,2005 - 2006,1.23
,,2006 - 2007,1.22
,,2008 - 2009,1.59
,,2009 - 2010,1.68
,,2010 - 2011,1.52
,,2011 - 2012,1.62
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kakinada,2022 - 2023,
,Konaseema,2022 - 2023,
,Krishna,2000 - 2001,2.69
,,2001 - 2002,1.73
,,2002 - 2003,2.46
,,2003 - 2004,1.92
,,2004 - 2005,1.88
,,2005 - 2006,2.12
,,2006 - 2007,2.25
,,2007 - 2008,2.4
,,2008 - 2009,2.73
,,2009 - 2010,2.77
,,2010 - 2011,2.48
,,2011 - 2012,3.87
,,2012 - 2013,4.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
