state,district,year,turmeric_whole_year_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2005 - 2006,7.0
,,2006 - 2007,0.41
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North and middle andaman,2006 - 2007,6.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2005 - 2006,7.0
,,2006 - 2007,6.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Anantapur,2000 - 2001,6.97
,,2001 - 2002,5.0
,,2004 - 2005,9.0
,,2005 - 2006,7.5
,,2006 - 2007,8.0
,,2008 - 2009,10.0
,,2010 - 2011,7.85
,,2011 - 2012,8.24
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,Chittoor,2000 - 2001,6.97
,,2001 - 2002,4.94
,,2002 - 2003,3.25
,,2003 - 2004,6.95
,,2004 - 2005,9.02
,,2005 - 2006,7.58
,,2006 - 2007,7.84
,,2008 - 2009,10.09
,,2009 - 2010,12.09
,,2010 - 2011,7.85
,,2011 - 2012,8.23
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,East godavari,2000 - 2001,4.49
,,2001 - 2002,4.32
,,2002 - 2003,5.36
,,2003 - 2004,6.17
,,2004 - 2005,8.08
,,2005 - 2006,6.27
,,2006 - 2007,5.88
,,2008 - 2009,6.87
,,2009 - 2010,6.24
,,2010 - 2011,6.11
,,2011 - 2012,7.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Guntur,2000 - 2001,5.23
,,2001 - 2002,5.38
,,2002 - 2003,6.41
,,2003 - 2004,7.15
,,2004 - 2005,7.05
,,2005 - 2006,6.54
,,2006 - 2007,5.98
,,2008 - 2009,6.91
,,2009 - 2010,5.17
,,2010 - 2011,6.47
,,2011 - 2012,7.82
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kadapa,2000 - 2001,6.96
,,2001 - 2002,4.94
,,2002 - 2003,3.24
,,2003 - 2004,6.96
,,2004 - 2005,9.03
,,2005 - 2006,7.58
,,2006 - 2007,7.84
,,2008 - 2009,10.09
,,2009 - 2010,12.11
,,2010 - 2011,7.87
,,2011 - 2012,8.24
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Krishna,2000 - 2001,4.49
,,2001 - 2002,3.83
,,2002 - 2003,4.76
,,2003 - 2004,8.68
,,2004 - 2005,13.88
,,2005 - 2006,7.78
,,2006 - 2007,8.26
,,2008 - 2009,10.71
,,2009 - 2010,11.57
,,2010 - 2011,8.57
,,2011 - 2012,10.69
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Kurnool,2000 - 2001,6.96
,,2001 - 2002,4.94
,,2002 - 2003,3.24
,,2003 - 2004,6.96
,,2004 - 2005,9.02
,,2005 - 2006,7.58
,,2006 - 2007,7.84
,,2008 - 2009,10.09
,,2009 - 2010,12.11
,,2010 - 2011,7.87
,,2011 - 2012,8.24
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Prakasam,2000 - 2001,4.49
,,2001 - 2002,4.32
,,2002 - 2003,5.36
,,2003 - 2004,6.17
,,2004 - 2005,8.08
,,2005 - 2006,6.27
,,2006 - 2007,5.88
,,2008 - 2009,6.87
,,2009 - 2010,6.23
,,2010 - 2011,6.11
,,2011 - 2012,7.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Spsr nellore,2000 - 2001,4.49
,,2001 - 2002,4.32
,,2002 - 2003,5.36
,,2003 - 2004,6.16
,,2004 - 2005,8.08
,,2005 - 2006,6.27
,,2006 - 2007,5.88
,,2008 - 2009,6.87
,,2009 - 2010,6.23
,,2010 - 2011,6.1
,,2011 - 2012,7.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
