state,district,year,urad_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2010 - 2011,0.77
,,2013 - 2014,0.4
,,2020 - 2021,2.44
,North and middle andaman,2010 - 2011,0.43
,,2011 - 2012,0.55
,,2012 - 2013,0.52
,,2013 - 2014,0.46
,,2014 - 2015,0.59
,,2015 - 2016,0.72
,,2016 - 2017,0.32
,,2017 - 2018,0.29
,,2018 - 2019,0.16
,,2019 - 2020,0.54
,,2020 - 2021,0.39
,,2021 - 2022,0.3
,,2022 - 2023,0.36
,South andamans,2010 - 2011,0.44
,,2011 - 2012,0.35
,,2012 - 2013,0.48
,,2013 - 2014,0.48
,,2014 - 2015,0.36
,,2015 - 2016,0.28
,,2016 - 2017,0.2
,,2017 - 2018,1.05
,,2019 - 2020,0.02
,,2020 - 2021,0.01
,,2021 - 2022,0.01
,,2022 - 2023,0.49
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,0.88
,Anakapalli,2022 - 2023,0.55
,Anantapur,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,0.64
,,2006 - 2007,0.79
,,2009 - 2010,0.76
,,2010 - 2011,0.53
,,2011 - 2012,0.7
,,2013 - 2014,0.75
,,2014 - 2015,1.45
,,2015 - 2016,1.04
,,2016 - 2017,1.17
,,2017 - 2018,1.33
,,2018 - 2019,1.04
,,2019 - 2020,1.31
,,2020 - 2021,1.34
,,2021 - 2022,1.46
,,2022 - 2023,1.39
,Annamayya,2022 - 2023,1.39
,Bapatla,2022 - 2023,1.6
,Chittoor,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,0.39
,,2004 - 2005,0.63
,,2005 - 2006,0.63
,,2006 - 2007,0.78
,,2008 - 2009,0.67
,,2009 - 2010,0.74
,,2010 - 2011,0.53
,,2011 - 2012,0.7
,,2012 - 2013,1.0
,,2013 - 2014,0.79
,,2014 - 2015,1.44
,,2015 - 2016,0.79
,,2016 - 2017,0.57
,,2017 - 2018,1.31
,,2018 - 2019,0.95
,,2019 - 2020,1.19
,,2020 - 2021,0.97
,,2021 - 2022,0.78
,,2022 - 2023,0.86
,East godavari,2000 - 2001,0.68
,,2001 - 2002,0.16
,,2002 - 2003,0.07
,,2003 - 2004,0.35
,,2004 - 2005,0.25
,,2005 - 2006,0.18
,,2006 - 2007,0.26
,,2007 - 2008,0.21
,,2008 - 2009,0.27
,,2009 - 2010,0.04
,,2010 - 2011,0.21
,,2011 - 2012,0.1
,,2012 - 2013,0.33
,,2013 - 2014,0.13
,,2014 - 2015,0.41
,,2015 - 2016,0.53
,,2016 - 2017,0.65
,,2017 - 2018,0.79
,,2018 - 2019,0.65
,,2019 - 2020,0.85
,,2020 - 2021,0.93
,,2021 - 2022,1.26
,,2022 - 2023,1.21
,Eluru,2022 - 2023,1.47
,Guntur,2000 - 2001,0.78
,,2001 - 2002,0.77
,,2002 - 2003,0.66
,,2003 - 2004,0.26
,,2004 - 2005,0.67
,,2005 - 2006,0.78
,,2006 - 2007,0.94
,,2007 - 2008,0.29
,,2008 - 2009,0.56
,,2009 - 2010,0.58
,,2010 - 2011,0.56
,,2011 - 2012,1.1
,,2012 - 2013,1.06
,,2013 - 2014,1.09
,,2014 - 2015,1.05
,,2015 - 2016,1.08
,,2016 - 2017,0.53
,,2017 - 2018,1.13
,,2018 - 2019,0.99
,,2019 - 2020,1.3
,,2020 - 2021,1.11
,,2021 - 2022,1.0
,,2022 - 2023,1.73
,Kadapa,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,0.38
,,2004 - 2005,0.61
,,2005 - 2006,0.67
,,2006 - 2007,0.78
,,2008 - 2009,0.68
,,2009 - 2010,0.74
,,2010 - 2011,0.53
,,2011 - 2012,0.7
,,2012 - 2013,0.8
,,2013 - 2014,0.79
,,2014 - 2015,0.68
,,2015 - 2016,0.86
,,2016 - 2017,0.64
,,2017 - 2018,1.43
,,2018 - 2019,0.44
,,2019 - 2020,0.92
,,2020 - 2021,0.77
,,2021 - 2022,0.83
,,2022 - 2023,1.23
,Kakinada,2022 - 2023,0.85
,Konaseema,2022 - 2023,0.24
,Krishna,2000 - 2001,1.08
,,2001 - 2002,0.95
,,2002 - 2003,0.9
,,2003 - 2004,0.4
,,2004 - 2005,0.85
,,2005 - 2006,0.83
,,2006 - 2007,1.06
,,2007 - 2008,0.71
,,2008 - 2009,0.99
,,2009 - 2010,1.31
,,2010 - 2011,0.62
,,2011 - 2012,0.9
,,2012 - 2013,0.98
,,2013 - 2014,0.91
,,2014 - 2015,1.17
,,2015 - 2016,1.26
,,2016 - 2017,0.77
,,2017 - 2018,1.18
,,2018 - 2019,1.29
,,2019 - 2020,1.4
,,2020 - 2021,1.34
,,2021 - 2022,1.33
,,2022 - 2023,1.64
,Kurnool,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.58
,,2003 - 2004,0.39
,,2004 - 2005,0.63
,,2005 - 2006,0.63
,,2006 - 2007,0.78
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.74
,,2010 - 2011,0.53
,,2011 - 2012,0.7
,,2012 - 2013,0.8
,,2013 - 2014,0.79
,,2014 - 2015,1.95
,,2015 - 2016,1.19
,,2016 - 2017,1.53
,,2017 - 2018,1.34
,,2018 - 2019,1.22
,,2019 - 2020,1.41
,,2020 - 2021,1.55
,,2021 - 2022,1.72
,,2022 - 2023,1.39
,Nandyal,2022 - 2023,1.52
,Ntr,2022 - 2023,1.04
,Palnadu,2022 - 2023,0.8
,Parvathipuram manyam,2022 - 2023,0.58
,Prakasam,2000 - 2001,0.84
,,2001 - 2002,0.57
,,2002 - 2003,0.32
,,2003 - 2004,0.86
,,2004 - 2005,0.51
,,2005 - 2006,0.45
,,2006 - 2007,0.71
,,2007 - 2008,0.85
,,2008 - 2009,0.65
,,2009 - 2010,0.59
,,2010 - 2011,0.38
,,2011 - 2012,0.44
,,2012 - 2013,0.7
,,2013 - 2014,0.82
,,2014 - 2015,0.87
,,2015 - 2016,0.62
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.4
,,2019 - 2020,0.99
,,2020 - 2021,0.42
,,2021 - 2022,0.7
,,2022 - 2023,0.44
,Spsr nellore,2000 - 2001,0.8
,,2001 - 2002,0.68
,,2002 - 2003,0.27
,,2003 - 2004,0.31
,,2004 - 2005,0.55
,,2005 - 2006,0.61
,,2006 - 2007,0.64
