state,district,year,wheat_rabi_yield_tonne_per_hectare
Andhra Pradesh,Anantapur,2000 - 2001,0.57
,,2001 - 2002,0.69
,,2002 - 2003,0.92
,,2003 - 2004,0.3
,,2004 - 2005,0.22
,,2005 - 2006,0.59
,,2006 - 2007,0.26
,,2008 - 2009,1.32
,,2009 - 2010,0.54
,,2010 - 2011,1.31
,,2011 - 2012,1.33
,,2013 - 2014,0.63
,,2015 - 2016,0.63
,,2017 - 2018,0.75
,,2019 - 2020,0.3
,,2020 - 2021,1.52
,,2021 - 2022,0.93
,,2022 - 2023,1.0
,Chittoor,2000 - 2001,0.6
,,2001 - 2002,0.0
,,2002 - 2003,1.4
,,2003 - 2004,0.29
,,2004 - 2005,0.0
,,2006 - 2007,0.25
,Guntur,2010 - 2011,1.3
,,2019 - 2020,0.0
,,2020 - 2021,1.67
,,2021 - 2022,1.0
,Kadapa,2000 - 2001,0.57
,,2001 - 2002,0.69
,,2002 - 2003,0.93
,,2003 - 2004,0.31
,,2004 - 2005,0.0
,,2005 - 2006,0.59
,,2006 - 2007,0.25
,,2008 - 2009,0.68
,,2009 - 2010,1.3
,,2010 - 2011,1.3
,,2011 - 2012,1.29
,,2013 - 2014,0.67
,,2014 - 2015,0.71
,,2015 - 2016,0.75
,,2016 - 2017,2.0
,,2017 - 2018,0.71
,,2019 - 2020,0.0
,,2020 - 2021,1.5
,,2021 - 2022,1.0
,,2022 - 2023,1.21
,Kurnool,2000 - 2001,0.57
,,2001 - 2002,0.69
,,2002 - 2003,0.92
,,2003 - 2004,0.3
,,2004 - 2005,0.22
,,2005 - 2006,0.59
,,2006 - 2007,0.26
,,2008 - 2009,0.54
,,2009 - 2010,0.46
,,2010 - 2011,1.44
,,2011 - 2012,1.1
,,2013 - 2014,0.74
,,2014 - 2015,1.33
,,2015 - 2016,0.71
,,2016 - 2017,2.31
,,2017 - 2018,0.69
,,2018 - 2019,0.19
,,2019 - 2020,0.32
,,2020 - 2021,1.5
,,2021 - 2022,1.4
,,2022 - 2023,1.35
,Palnadu,2022 - 2023,1.2
,Prakasam,2001 - 2002,0.67
,,2002 - 2003,0.92
,,2018 - 2019,0.0
,,2020 - 2021,2.0
,Vizianagaram,2017 - 2018,
,West godavari,2017 - 2018,
,,2020 - 2021,
Arunachal Pradesh,Anjaw,2004 - 2005,2.0
,,2005 - 2006,2.03
,,2006 - 2007,2.15
,,2007 - 2008,1.6
,,2008 - 2009,1.63
,,2009 - 2010,1.48
,,2010 - 2011,1.5
,,2011 - 2012,1.6
,,2012 - 2013,1.54
,,2013 - 2014,1.54
,Changlang,2000 - 2001,1.04
,,2001 - 2002,1.1
,,2002 - 2003,1.6
