state,district,location,crops_evaluated,crops_high,mean_ensemble_proba,crops_high_list,pct_crops_high
Telangana,Hanumakonda,Telangana_Hanumakonda,43,12,0.4960325581395349,"banana, cotton, ginger, gram, groundnut, mesta, onion, rice, soyabean, sugarcane, sunflower, turmeric",27.9
Rajasthan,Khairthal-Tijara,Rajasthan_Khairthal-Tijara,43,11,0.5358023255813954,"arhar_tur, bajra, barley, coriander, cotton, linseed, other_rabi_pulses, rapeseed_and_mustard, sugarcane, sunflower, wheat",25.6
Rajasthan,Gangapurcity,Rajasthan_Gangapurcity,43,11,0.3876860465116279,"bajra, barley, coriander, cotton, linseed, masoor, other_rabi_pulses, rapeseed_and_mustard, sugarcane, sunflower, wheat",25.6
Rajasthan,Kotputli-Behror,Rajasthan_Kotputli-Behror,43,10,0.4749046511627907,"bajra, barley, coriander, cotton, linseed, other_rabi_pulses, rapeseed_and_mustard, sugarcane, sunflower, wheat",23.3
Rajasthan,Neem Ka Thana,Rajasthan_Neem Ka Thana,43,9,0.4603697674418605,"bajra, barley, coriander, cotton, linseed, other_rabi_pulses, rapeseed_and_mustard, sugarcane, wheat",20.9
Rajasthan,Jaipur Gramin,Rajasthan_Jaipur Gramin,43,9,0.36208837209302325,"barley, coriander, cotton, linseed, masoor, other_rabi_pulses, rapeseed_and_mustard, sugarcane, wheat",20.9
Punjab,Mansa,Punjab_Mansa,27,8,0.5431925925925926,"coriander, dry_chillies, garlic, onion, other_rabi_pulses, potato, sunflower, turmeric",29.6
Punjab,Malerkotla,Punjab_Malerkotla,35,8,0.53528,"coriander, garlic, moong, onion, other_rabi_pulses, potato, sunflower, turmeric",22.9
Rajasthan,Deeg,Rajasthan_Deeg,43,8,0.5308767441860465,"bajra, banana, barley, other_rabi_pulses, rapeseed_and_mustard, sugarcane, sunflower, wheat",18.6
Manipur,Kakching,Manipur_Kakching,43,8,0.38273488372093023,"arhar_tur, dry_chillies, ginger, moong, other_kharif_pulses, other_rabi_pulses, turmeric, urad",18.6
Rajasthan,Jodhpur Gramin,Rajasthan_Jodhpur Gramin,43,8,0.36109534883720934,"barley, coriander, cotton, groundnut, masoor, other_cereals, rapeseed_and_mustard, sugarcane",18.6
