state,high_district_crop_pairs,unique_districts,unique_crops,mean_proba
Rajasthan,106,16,15,0.9765358490566037
Punjab,105,20,12,0.954015238095238
Uttar Pradesh,55,29,11,0.9495745454545454
Haryana,48,21,10,0.9676833333333333
Manipur,41,9,12,0.9561853658536585
Telangana,35,12,16,0.9524828571428572
Bihar,28,17,8,0.9650857142857143
Andhra Pradesh,25,14,12,0.949492
Tamil Nadu,20,11,6,0.9523300000000001
Arunachal Pradesh,19,9,9,0.9504894736842106
Jharkhand,19,12,4,0.9631210526315789
Assam,16,10,7,0.94695
Meghalaya,14,7,8,0.9535642857142858
Nagaland,13,6,6,0.9526692307692308
Gujarat,11,11,5,0.9363
West Bengal,8,5,5,0.9208625
Madhya Pradesh,7,5,3,0.9461428571428571
Mizoram,7,7,2,0.9574142857142858
Maharashtra,6,5,4,0.9491666666666667
Odisha,6,5,4,0.9462833333333333
Karnataka,6,5,3,0.9611666666666667
Himachal Pradesh,4,4,1,0.923975
Uttarakhand,3,2,2,0.924
Jammu & Kashmir,1,1,1,0.9449
Kerala,1,1,1,0.9249
