feature,importance
t2m_amplitude,0.29603347
tp_zaid_mean,0.2699619
e_kharif_std,0.24383739
water_retention_index,0.23556963
soil_air_diff_rabi_std,0.2352192
swvl1_rabi_std,0.21598125
tp_kharif_mean,0.1918274
GDD_rabi,0.1514636
e_rabi_mean,0.14695078
e_zaid_std,0.14074704
humidity_stress_index,0.13734834
e_zaid_mean,0.13543366
swvl1_zaid_std,0.13378139
humidity_variability,0.12975344
tp_kharif_std,0.12605819
GDD_kharif,0.11551319
tp_kharif_fraction,0.11252743
swvl1_amplitude,0.10805249
e_rabi_std,0.10699786
soil_air_diff_kharif_std,0.104696274
runoff_ratio_zaid_mean,0.1037477
e_kharif_mean,0.10363959
swvl1_stability,0.10080035
cvh,0.09739055
soil_air_diff_zaid_mean,0.09550009
swvl1_rabi_mean,0.08238466
soil_moisture_seasonality,0.07632464
runoff_ratio_rabi_mean,0.07179887
runoff_ratio_kharif_mean,0.07104695
heat_months_30C,0.068698786
t2m_peak_sin,0.06325926
soil_air_diff_rabi_mean,0.05584387
soil_air_diff_kharif_mean,0.053494625
swvl1_kharif_mean,0.049972452
t2m_peak_cos,0.0037972357
heat_months_35C,0.00015109932
