feature,importance
e_kharif_mean,0.3661818
GDD_kharif,0.34376234
water_retention_index,0.34039658
swvl1_amplitude,0.2721505
e_kharif_std,0.22106537
e_zaid_std,0.19902344
humidity_stress_index,0.18961547
tp_kharif_fraction,0.17102039
soil_air_diff_kharif_mean,0.16774157
runoff_ratio_zaid_mean,0.16307728
e_rabi_mean,0.140328
swvl1_rabi_mean,0.13783868
t2m_amplitude,0.13525537
humidity_variability,0.1334203
soil_moisture_seasonality,0.13311332
swvl1_stability,0.11624168
e_rabi_std,0.10959061
runoff_ratio_rabi_mean,0.10597303
tp_kharif_std,0.1052804
soil_air_diff_rabi_mean,0.10084851
soil_air_diff_rabi_std,0.098058596
soil_air_diff_zaid_mean,0.09257549
swvl1_zaid_std,0.09120373
cvh,0.09004654
swvl1_rabi_std,0.08385377
swvl1_kharif_mean,0.078056216
tp_zaid_mean,0.0692649
runoff_ratio_kharif_mean,0.066401504
e_zaid_mean,0.065450445
GDD_rabi,0.065172955
tp_kharif_mean,0.06154024
soil_air_diff_kharif_std,0.052797824
heat_months_30C,0.008555463
t2m_peak_cos,0.0031235283
t2m_peak_sin,0.0022498718
heat_months_35C,8.8470835e-05
