feature,importance
swvl1_rabi_std,0.48449844
humidity_variability,0.3193267
e_zaid_mean,0.26163575
humidity_stress_index,0.23081163
tp_zaid_mean,0.22672614
water_retention_index,0.19920783
swvl1_stability,0.19872814
e_kharif_mean,0.1877996
GDD_kharif,0.1688305
swvl1_kharif_mean,0.16765691
t2m_amplitude,0.1640155
tp_kharif_mean,0.14843638
e_rabi_mean,0.14430062
e_zaid_std,0.1356314
swvl1_zaid_std,0.13093947
e_kharif_std,0.12814595
soil_air_diff_rabi_mean,0.12396183
soil_air_diff_kharif_std,0.10783751
GDD_rabi,0.10751245
tp_kharif_std,0.10322336
runoff_ratio_zaid_mean,0.08992465
soil_air_diff_zaid_mean,0.07722461
t2m_peak_sin,0.07606338
tp_kharif_fraction,0.07598219
e_rabi_std,0.070054755
swvl1_rabi_mean,0.06843561
soil_air_diff_rabi_std,0.063012674
cvh,0.06055615
runoff_ratio_rabi_mean,0.050324965
soil_air_diff_kharif_mean,0.041373786
runoff_ratio_kharif_mean,0.03734174
swvl1_amplitude,0.03711924
soil_moisture_seasonality,0.03469003
t2m_peak_cos,0.02381588
heat_months_30C,0.016438605
heat_months_35C,0.0
