feature,importance
runoff_ratio_rabi_mean,0.32359427
water_retention_index,0.32248986
GDD_kharif,0.2230571
runoff_ratio_zaid_mean,0.2062904
soil_air_diff_rabi_std,0.19954166
soil_moisture_seasonality,0.18917105
GDD_rabi,0.17822763
cvh,0.16557041
t2m_amplitude,0.16340461
swvl1_stability,0.1611844
soil_air_diff_kharif_std,0.15451112
soil_air_diff_kharif_mean,0.13998437
e_zaid_std,0.13825552
tp_kharif_fraction,0.13651255
swvl1_amplitude,0.13383669
runoff_ratio_kharif_mean,0.12120322
humidity_variability,0.11881201
e_rabi_mean,0.105123855
e_kharif_mean,0.104590416
tp_zaid_mean,0.10365887
swvl1_rabi_std,0.10077782
tp_kharif_std,0.09417839
soil_air_diff_zaid_mean,0.09030257
swvl1_zaid_std,0.09026633
e_kharif_std,0.08270691
e_rabi_std,0.0797021
soil_air_diff_rabi_mean,0.07370274
swvl1_kharif_mean,0.073528886
humidity_stress_index,0.073285006
e_zaid_mean,0.07215392
tp_kharif_mean,0.070428364
swvl1_rabi_mean,0.06689576
heat_months_30C,0.008120438
t2m_peak_cos,0.006498295
t2m_peak_sin,0.0043322677
heat_months_35C,5.8023616e-05
