feature,importance
swvl1_amplitude,0.30600435
soil_moisture_seasonality,0.28943032
GDD_kharif,0.27959532
water_retention_index,0.27098888
e_zaid_std,0.20495038
e_kharif_std,0.18680552
cvh,0.18267713
tp_kharif_fraction,0.17064303
t2m_amplitude,0.16321269
humidity_variability,0.12911257
runoff_ratio_kharif_mean,0.12413986
soil_air_diff_rabi_mean,0.12287371
e_kharif_mean,0.12001697
soil_air_diff_zaid_mean,0.119786896
e_rabi_mean,0.11654768
GDD_rabi,0.11603303
swvl1_stability,0.114301965
tp_kharif_mean,0.09909187
tp_kharif_std,0.09879881
swvl1_zaid_std,0.097089246
runoff_ratio_rabi_mean,0.093802296
soil_air_diff_kharif_mean,0.09324225
swvl1_rabi_std,0.081984155
swvl1_rabi_mean,0.08142725
soil_air_diff_rabi_std,0.08137677
soil_air_diff_kharif_std,0.078129135
tp_zaid_mean,0.078101814
e_zaid_mean,0.07508789
swvl1_kharif_mean,0.06796561
runoff_ratio_zaid_mean,0.06583444
e_rabi_std,0.06520972
humidity_stress_index,0.054713137
t2m_peak_cos,0.054303415
heat_months_30C,0.035961565
t2m_peak_sin,0.009145724
heat_months_35C,0.000102585625
