feature,importance
GDD_rabi,1.0852051
humidity_stress_index,0.702613
swvl1_rabi_std,0.59674346
GDD_kharif,0.5122613
water_retention_index,0.38849288
swvl1_zaid_std,0.32879806
e_rabi_std,0.3211462
soil_air_diff_rabi_std,0.30909657
e_kharif_mean,0.30123657
tp_kharif_mean,0.28291616
e_zaid_std,0.28247398
tp_kharif_std,0.20409894
runoff_ratio_rabi_mean,0.19736215
e_rabi_mean,0.18996307
tp_zaid_mean,0.18584888
cvh,0.18391956
swvl1_stability,0.1807017
runoff_ratio_zaid_mean,0.14405768
swvl1_amplitude,0.13958004
soil_moisture_seasonality,0.13926086
soil_air_diff_kharif_std,0.13224462
soil_air_diff_rabi_mean,0.13189563
swvl1_rabi_mean,0.1293948
t2m_amplitude,0.12896624
soil_air_diff_kharif_mean,0.123621725
swvl1_kharif_mean,0.12274377
e_zaid_mean,0.11627922
humidity_variability,0.11435993
tp_kharif_fraction,0.11325999
e_kharif_std,0.104740575
runoff_ratio_kharif_mean,0.091086194
soil_air_diff_zaid_mean,0.08576901
t2m_peak_sin,0.023617795
heat_months_30C,0.01647294
t2m_peak_cos,0.011071558
heat_months_35C,0.0
