feature,importance
tp_kharif_std,0.24463809
runoff_ratio_zaid_mean,0.22495064
runoff_ratio_rabi_mean,0.18932994
t2m_amplitude,0.18186316
humidity_variability,0.18007351
swvl1_rabi_mean,0.16983274
e_kharif_std,0.15981856
swvl1_zaid_std,0.15792914
water_retention_index,0.15360133
tp_kharif_fraction,0.15274878
GDD_rabi,0.14967358
swvl1_kharif_mean,0.1435634
e_zaid_std,0.14289632
e_kharif_mean,0.14286162
e_zaid_mean,0.13095829
tp_kharif_mean,0.1287879
swvl1_rabi_std,0.12189583
runoff_ratio_kharif_mean,0.11468597
soil_air_diff_rabi_std,0.11247482
e_rabi_std,0.10662087
GDD_kharif,0.10431917
tp_zaid_mean,0.099510625
swvl1_stability,0.09389183
cvh,0.09177981
humidity_stress_index,0.09155818
soil_moisture_seasonality,0.08836875
e_rabi_mean,0.08308047
soil_air_diff_kharif_std,0.07935188
soil_air_diff_kharif_mean,0.07890747
soil_air_diff_rabi_mean,0.07734097
soil_air_diff_zaid_mean,0.07592521
swvl1_amplitude,0.07368056
t2m_peak_sin,0.017689452
t2m_peak_cos,0.015956169
heat_months_30C,0.013589184
heat_months_35C,0.0
