feature,importance
GDD_rabi,0.49044585
tp_kharif_std,0.22421813
GDD_kharif,0.20414808
e_kharif_std,0.16380444
humidity_variability,0.16179219
soil_air_diff_rabi_std,0.160785
water_retention_index,0.15491389
e_rabi_std,0.14493674
e_zaid_std,0.14095065
tp_kharif_fraction,0.13210042
cvh,0.13108519
swvl1_rabi_std,0.12946066
e_kharif_mean,0.12925501
e_rabi_mean,0.12787476
soil_air_diff_rabi_mean,0.11306618
soil_air_diff_kharif_mean,0.11186739
swvl1_amplitude,0.10484767
runoff_ratio_rabi_mean,0.10337017
soil_moisture_seasonality,0.10058147
swvl1_stability,0.094660304
e_zaid_mean,0.0934674
swvl1_kharif_mean,0.089487314
soil_air_diff_kharif_std,0.088061586
t2m_amplitude,0.08604941
humidity_stress_index,0.083793275
soil_air_diff_zaid_mean,0.07934785
swvl1_zaid_std,0.077741206
swvl1_rabi_mean,0.07124047
tp_zaid_mean,0.07099298
tp_kharif_mean,0.069540694
runoff_ratio_kharif_mean,0.06856255
runoff_ratio_zaid_mean,0.0651222
heat_months_30C,0.023664419
t2m_peak_sin,0.019429976
t2m_peak_cos,0.0049934685
heat_months_35C,0.0002261248
