feature,importance
swvl1_rabi_std,0.43471342
GDD_rabi,0.29725868
GDD_kharif,0.19510928
tp_kharif_std,0.1917619
runoff_ratio_rabi_mean,0.17539863
swvl1_zaid_std,0.13828178
tp_kharif_mean,0.13498971
tp_zaid_mean,0.13170436
humidity_stress_index,0.13099141
runoff_ratio_zaid_mean,0.13037804
soil_moisture_seasonality,0.12832986
t2m_amplitude,0.1251625
tp_kharif_fraction,0.119509615
soil_air_diff_kharif_mean,0.11795076
runoff_ratio_kharif_mean,0.11401279
water_retention_index,0.10949407
e_kharif_mean,0.10671705
e_kharif_std,0.10631041
swvl1_rabi_mean,0.105478525
e_rabi_mean,0.10398545
e_zaid_mean,0.10355319
soil_air_diff_zaid_mean,0.10310487
humidity_variability,0.094918534
swvl1_stability,0.09163129
soil_air_diff_rabi_std,0.090731606
swvl1_amplitude,0.086993076
swvl1_kharif_mean,0.08202102
soil_air_diff_rabi_mean,0.07829879
soil_air_diff_kharif_std,0.07780923
e_zaid_std,0.07742647
e_rabi_std,0.06905973
cvh,0.060296394
t2m_peak_cos,0.022240337
heat_months_30C,0.008312173
t2m_peak_sin,0.0063556386
heat_months_35C,0.00010755743
