feature,importance
GDD_kharif,0.32392743
runoff_ratio_rabi_mean,0.23383994
e_rabi_std,0.20634274
tp_kharif_std,0.18818232
soil_air_diff_rabi_std,0.18575071
e_rabi_mean,0.16271178
e_kharif_mean,0.15952946
tp_kharif_mean,0.15569869
e_zaid_mean,0.15358308
soil_air_diff_kharif_mean,0.14616828
runoff_ratio_kharif_mean,0.14407781
swvl1_zaid_std,0.1384063
GDD_rabi,0.13712288
soil_air_diff_zaid_mean,0.13367967
e_kharif_std,0.12599976
t2m_amplitude,0.12355962
e_zaid_std,0.12331794
swvl1_amplitude,0.11621207
runoff_ratio_zaid_mean,0.11469726
cvh,0.11197056
soil_air_diff_rabi_mean,0.10831933
soil_air_diff_kharif_std,0.104377136
water_retention_index,0.101793215
swvl1_rabi_mean,0.098402835
swvl1_stability,0.090276554
tp_zaid_mean,0.08824376
soil_moisture_seasonality,0.08256148
humidity_stress_index,0.079029694
tp_kharif_fraction,0.07796912
swvl1_kharif_mean,0.077612825
swvl1_rabi_std,0.07015549
humidity_variability,0.060643174
t2m_peak_cos,0.015925737
heat_months_30C,0.006856931
t2m_peak_sin,0.0048485417
heat_months_35C,0.0
