feature,importance
humidity_variability,0.46964058
tp_zaid_mean,0.38882142
GDD_kharif,0.36732394
e_zaid_std,0.36319837
e_kharif_mean,0.31923428
tp_kharif_fraction,0.2277432
swvl1_rabi_std,0.21863857
e_rabi_mean,0.20147665
humidity_stress_index,0.1383637
soil_air_diff_zaid_mean,0.13187602
water_retention_index,0.122633494
swvl1_stability,0.11747501
cvh,0.115366206
tp_kharif_std,0.105420865
soil_air_diff_kharif_std,0.102262355
e_rabi_std,0.09726848
t2m_amplitude,0.094974175
swvl1_amplitude,0.084560096
runoff_ratio_rabi_mean,0.08107896
GDD_rabi,0.08034365
soil_moisture_seasonality,0.07320775
soil_air_diff_rabi_std,0.064249314
e_zaid_mean,0.06305198
runoff_ratio_kharif_mean,0.06172543
e_kharif_std,0.05939936
swvl1_kharif_mean,0.053356964
soil_air_diff_rabi_mean,0.050614893
swvl1_zaid_std,0.048389763
soil_air_diff_kharif_mean,0.04417592
tp_kharif_mean,0.040666193
swvl1_rabi_mean,0.03864615
runoff_ratio_zaid_mean,0.037848048
t2m_peak_sin,0.0036088289
heat_months_30C,0.0028535656
t2m_peak_cos,0.0012842786
heat_months_35C,0.0
