feature,importance
humidity_variability,0.28806314
runoff_ratio_zaid_mean,0.26048926
e_zaid_std,0.25746092
tp_kharif_std,0.20823066
swvl1_rabi_std,0.19322282
GDD_rabi,0.18746461
GDD_kharif,0.17730275
e_rabi_std,0.1561209
e_kharif_mean,0.1545383
runoff_ratio_rabi_mean,0.15334329
water_retention_index,0.14539395
tp_kharif_mean,0.14063123
swvl1_stability,0.12538403
e_kharif_std,0.11761586
humidity_stress_index,0.11294268
swvl1_amplitude,0.11122284
soil_air_diff_rabi_std,0.11119299
swvl1_kharif_mean,0.107544385
t2m_amplitude,0.101287805
cvh,0.09805277
soil_air_diff_kharif_std,0.09666671
e_zaid_mean,0.09315289
swvl1_rabi_mean,0.090869494
soil_air_diff_zaid_mean,0.08881335
tp_zaid_mean,0.08827619
t2m_peak_sin,0.08583728
tp_kharif_fraction,0.0842729
e_rabi_mean,0.083046734
swvl1_zaid_std,0.081378
soil_air_diff_kharif_mean,0.07077108
soil_air_diff_rabi_mean,0.06794113
runoff_ratio_kharif_mean,0.06104665
soil_moisture_seasonality,0.05754151
heat_months_30C,0.024879854
t2m_peak_cos,0.010010186
heat_months_35C,0.00020823153
