feature,importance
soil_air_diff_kharif_std,0.23228219
e_rabi_std,0.23176691
swvl1_rabi_std,0.222222
t2m_amplitude,0.19688563
humidity_stress_index,0.1928784
runoff_ratio_zaid_mean,0.16604593
tp_zaid_mean,0.16186032
e_rabi_mean,0.1610192
swvl1_rabi_mean,0.15957479
tp_kharif_std,0.15940474
e_zaid_mean,0.15234557
runoff_ratio_rabi_mean,0.1439825
swvl1_kharif_mean,0.13599001
humidity_variability,0.13325109
GDD_kharif,0.1296271
GDD_rabi,0.12385489
swvl1_zaid_std,0.112956785
e_zaid_std,0.10675713
water_retention_index,0.10572223
e_kharif_mean,0.1048571
soil_moisture_seasonality,0.103854716
e_kharif_std,0.10269976
cvh,0.101150654
soil_air_diff_rabi_mean,0.09748245
soil_air_diff_kharif_mean,0.09494619
tp_kharif_mean,0.09264809
runoff_ratio_kharif_mean,0.09264003
swvl1_amplitude,0.088218786
soil_air_diff_rabi_std,0.07778309
swvl1_stability,0.07470216
tp_kharif_fraction,0.056039043
soil_air_diff_zaid_mean,0.039796308
heat_months_30C,0.008217188
t2m_peak_cos,0.002769836
t2m_peak_sin,0.0025726403
heat_months_35C,0.0008033669
