feature,importance
swvl1_zaid_std,0.32055813
swvl1_rabi_std,0.25678635
cvh,0.23967095
water_retention_index,0.23021331
runoff_ratio_rabi_mean,0.21584031
tp_kharif_fraction,0.20917173
e_kharif_mean,0.19294825
swvl1_rabi_mean,0.1863043
humidity_stress_index,0.17237553
GDD_rabi,0.1604485
runoff_ratio_zaid_mean,0.13342553
e_rabi_std,0.12571022
e_zaid_mean,0.12371097
humidity_variability,0.119493626
e_rabi_mean,0.11888242
GDD_kharif,0.115153335
e_kharif_std,0.11294852
soil_air_diff_rabi_std,0.111205935
tp_kharif_mean,0.10900426
soil_moisture_seasonality,0.10416867
e_zaid_std,0.098989144
swvl1_stability,0.09327392
t2m_amplitude,0.08837822
soil_air_diff_kharif_std,0.08656693
tp_kharif_std,0.085801534
tp_zaid_mean,0.084583946
swvl1_kharif_mean,0.081155576
soil_air_diff_rabi_mean,0.07634022
swvl1_amplitude,0.07589714
soil_air_diff_kharif_mean,0.06524223
soil_air_diff_zaid_mean,0.06132887
runoff_ratio_kharif_mean,0.044087745
t2m_peak_sin,0.039117005
heat_months_30C,0.018703213
heat_months_35C,0.010152738
t2m_peak_cos,0.00268231
