feature,importance
soil_moisture_seasonality,0.57594025
swvl1_amplitude,0.29167214
e_zaid_mean,0.22093633
tp_kharif_std,0.21651761
soil_air_diff_zaid_mean,0.21223791
e_rabi_std,0.17661025
water_retention_index,0.16491441
runoff_ratio_rabi_mean,0.15411144
swvl1_rabi_mean,0.15052417
t2m_amplitude,0.14951017
humidity_variability,0.1459022
runoff_ratio_kharif_mean,0.14031342
soil_air_diff_rabi_std,0.13254805
e_kharif_mean,0.13037477
runoff_ratio_zaid_mean,0.12914926
e_zaid_std,0.12784371
swvl1_rabi_std,0.11745465
tp_zaid_mean,0.109166816
GDD_kharif,0.10119183
swvl1_zaid_std,0.09830946
tp_kharif_mean,0.0979596
cvh,0.09506037
heat_months_30C,0.09488808
GDD_rabi,0.09451759
e_kharif_std,0.07968536
soil_air_diff_kharif_mean,0.0796811
soil_air_diff_rabi_mean,0.07892162
soil_air_diff_kharif_std,0.07695915
humidity_stress_index,0.06490521
swvl1_kharif_mean,0.0627462
e_rabi_mean,0.054348312
tp_kharif_fraction,0.050275266
swvl1_stability,0.04870724
t2m_peak_sin,0.010508409
t2m_peak_cos,0.0033093668
heat_months_35C,0.00045688386
