feature,importance
tp_kharif_std,0.31430608
e_rabi_std,0.26730433
soil_air_diff_rabi_std,0.23086968
e_zaid_mean,0.2003009
swvl1_amplitude,0.19776948
humidity_variability,0.18776102
water_retention_index,0.18325476
e_zaid_std,0.15901586
swvl1_zaid_std,0.1584518
swvl1_stability,0.15740828
tp_kharif_mean,0.1509492
GDD_rabi,0.13150224
e_rabi_mean,0.11475992
e_kharif_std,0.11400002
tp_kharif_fraction,0.11049465
soil_air_diff_rabi_mean,0.108822204
humidity_stress_index,0.1064562
GDD_kharif,0.10582857
swvl1_kharif_mean,0.10521096
e_kharif_mean,0.10241769
runoff_ratio_kharif_mean,0.10169031
cvh,0.093253955
soil_air_diff_kharif_mean,0.09317003
runoff_ratio_zaid_mean,0.0925601
runoff_ratio_rabi_mean,0.09039067
swvl1_rabi_mean,0.08982066
tp_zaid_mean,0.08210675
soil_moisture_seasonality,0.07875808
swvl1_rabi_std,0.07794128
soil_air_diff_zaid_mean,0.07147711
soil_air_diff_kharif_std,0.062190194
t2m_amplitude,0.0388246
heat_months_30C,0.023414474
heat_months_35C,0.0012329462
t2m_peak_sin,0.0012307357
t2m_peak_cos,0.0006993428
