feature,importance
swvl1_zaid_std,0.24454296
cvh,0.2104841
e_rabi_std,0.2012063
tp_kharif_fraction,0.1922333
e_kharif_mean,0.17970976
tp_zaid_mean,0.16964927
e_zaid_std,0.16321102
tp_kharif_std,0.16091013
runoff_ratio_rabi_mean,0.15335014
swvl1_rabi_std,0.14590986
soil_air_diff_rabi_std,0.13411492
e_rabi_mean,0.12727785
GDD_rabi,0.122829296
swvl1_stability,0.12243805
e_kharif_std,0.11768476
t2m_amplitude,0.11208584
runoff_ratio_zaid_mean,0.10943322
water_retention_index,0.10927828
soil_air_diff_kharif_mean,0.10475264
humidity_stress_index,0.103804745
swvl1_rabi_mean,0.10163631
GDD_kharif,0.094382666
humidity_variability,0.084404394
e_zaid_mean,0.08360468
soil_air_diff_kharif_std,0.079406716
soil_air_diff_rabi_mean,0.07927185
swvl1_amplitude,0.07429315
soil_air_diff_zaid_mean,0.071570404
soil_moisture_seasonality,0.06177301
tp_kharif_mean,0.061733235
swvl1_kharif_mean,0.05710628
runoff_ratio_kharif_mean,0.05685254
t2m_peak_cos,0.047922693
t2m_peak_sin,0.01483452
heat_months_30C,0.00801521
heat_months_35C,0.00027654966
