feature,importance
soil_moisture_seasonality,0.3024908
humidity_variability,0.2584328
e_zaid_mean,0.21281505
e_rabi_mean,0.17823271
e_kharif_mean,0.173417
cvh,0.17231072
swvl1_amplitude,0.16393961
GDD_kharif,0.15706253
water_retention_index,0.14814422
humidity_stress_index,0.14534336
soil_air_diff_zaid_mean,0.13260087
swvl1_zaid_std,0.13116612
GDD_rabi,0.1307253
e_rabi_std,0.12924676
runoff_ratio_rabi_mean,0.12456205
e_kharif_std,0.12101837
swvl1_rabi_mean,0.12031722
tp_kharif_std,0.10667612
swvl1_stability,0.10456264
tp_zaid_mean,0.099594414
runoff_ratio_kharif_mean,0.09701028
soil_air_diff_kharif_std,0.09117347
e_zaid_std,0.08689374
soil_air_diff_rabi_mean,0.08682792
soil_air_diff_rabi_std,0.08508829
swvl1_kharif_mean,0.08398912
t2m_amplitude,0.08172045
soil_air_diff_kharif_mean,0.07803573
runoff_ratio_zaid_mean,0.077900134
swvl1_rabi_std,0.0777734
tp_kharif_mean,0.07490982
tp_kharif_fraction,0.04459424
heat_months_30C,0.0192252
t2m_peak_cos,0.005557352
t2m_peak_sin,0.0046252585
heat_months_35C,0.001480512
