feature,importance
water_retention_index,0.41970143
GDD_rabi,0.27994102
swvl1_zaid_std,0.22743979
GDD_kharif,0.22733192
swvl1_kharif_mean,0.19600725
tp_kharif_std,0.1786707
soil_moisture_seasonality,0.16956666
swvl1_rabi_std,0.16328433
humidity_variability,0.15839097
cvh,0.15621045
runoff_ratio_rabi_mean,0.15562326
tp_kharif_fraction,0.15025644
humidity_stress_index,0.14196223
e_kharif_mean,0.13945173
t2m_amplitude,0.13869242
soil_air_diff_zaid_mean,0.13703288
soil_air_diff_rabi_mean,0.12944768
runoff_ratio_zaid_mean,0.12170982
e_kharif_std,0.11842128
tp_zaid_mean,0.11233411
tp_kharif_mean,0.10566763
e_zaid_std,0.09982206
e_rabi_std,0.09661905
swvl1_amplitude,0.09274305
soil_air_diff_kharif_mean,0.090170786
soil_air_diff_kharif_std,0.08413992
soil_air_diff_rabi_std,0.080016635
swvl1_stability,0.066757545
e_rabi_mean,0.06551456
e_zaid_mean,0.055794
swvl1_rabi_mean,0.04640054
t2m_peak_cos,0.029576313
runoff_ratio_kharif_mean,0.026053067
t2m_peak_sin,0.007649551
heat_months_30C,0.00678144
heat_months_35C,0.00013578987
