feature,importance
t2m_amplitude,0.32384253
e_zaid_std,0.28654855
runoff_ratio_rabi_mean,0.266281
e_kharif_mean,0.26002234
tp_kharif_std,0.23256335
water_retention_index,0.22207454
e_kharif_std,0.20230588
swvl1_rabi_std,0.2017953
e_rabi_std,0.19650272
swvl1_stability,0.19607274
GDD_rabi,0.18788019
cvh,0.17039575
runoff_ratio_zaid_mean,0.15104392
tp_kharif_mean,0.1475664
tp_kharif_fraction,0.1264243
e_zaid_mean,0.1259115
soil_moisture_seasonality,0.12363318
humidity_stress_index,0.1141055
soil_air_diff_rabi_std,0.11261799
e_rabi_mean,0.109217346
soil_air_diff_rabi_mean,0.10160486
GDD_kharif,0.08554725
humidity_variability,0.08312915
soil_air_diff_zaid_mean,0.081763655
swvl1_rabi_mean,0.07872094
swvl1_amplitude,0.07732719
soil_air_diff_kharif_std,0.07650366
runoff_ratio_kharif_mean,0.07054947
swvl1_zaid_std,0.060797118
soil_air_diff_kharif_mean,0.05562806
swvl1_kharif_mean,0.052666478
tp_zaid_mean,0.04059654
t2m_peak_sin,0.024629952
heat_months_30C,0.009548387
t2m_peak_cos,0.009445993
heat_months_35C,4.8335074e-05
