feature,importance
GDD_kharif,0.5497955
swvl1_rabi_std,0.48862433
water_retention_index,0.33061072
runoff_ratio_rabi_mean,0.17448547
e_kharif_mean,0.14926441
runoff_ratio_zaid_mean,0.14396517
e_rabi_mean,0.13757417
tp_kharif_mean,0.13396405
tp_kharif_fraction,0.13123277
tp_kharif_std,0.1272355
soil_air_diff_kharif_std,0.12480257
GDD_rabi,0.12317506
tp_zaid_mean,0.11598496
soil_air_diff_kharif_mean,0.1149504
t2m_amplitude,0.11378648
cvh,0.11185761
soil_air_diff_rabi_mean,0.107600845
humidity_variability,0.10651229
soil_air_diff_rabi_std,0.10636095
swvl1_zaid_std,0.10531478
swvl1_stability,0.09304057
humidity_stress_index,0.09278296
swvl1_kharif_mean,0.084688164
swvl1_rabi_mean,0.08377793
e_rabi_std,0.083011985
swvl1_amplitude,0.08179071
e_zaid_mean,0.08091965
e_kharif_std,0.08051737
soil_air_diff_zaid_mean,0.07990022
e_zaid_std,0.07417642
soil_moisture_seasonality,0.05083261
runoff_ratio_kharif_mean,0.040882714
t2m_peak_cos,0.022788998
heat_months_30C,0.008670739
heat_months_35C,0.0029635294
t2m_peak_sin,0.0022650945
