Crop: Barley,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Haryana,Faridabad,3.14,3.29,3.58,2.72,2.86,2.52,4.12,2.65,8.24,,,,,,,,4,3.5,4,,2.85,2.06,3.71
2,Bihar,Jehanabad,1.09,1.15,0.92,1.03,0.59,0.86,1.19,1.03,0.73,8.05,0.91,0.91,1.34,1.13,1.11,1.26,1.35,1.74,1.38,1.29,1.34,1.56,1.12
3,Haryana,Jind,3.08,3.41,3.42,3.62,3.54,3.75,1.84,3.13,2.88,3.44,4.9,6.55,7.09,3,2,3,2,4.33,4,4.38,4.42,4.56,4.67
4,Haryana,Mahendragarh,2.18,2.19,3.01,4.34,,5.45,4.48,4.59,3.86,3.13,3.54,2.29,5.89,3,,,3.2,3,3.4,3.39,3.45,3.47,3.31
5,Punjab,Patiala,3.5,4.5,3.5,3,4,4,3,4,4,4,4,5,,4,4.1,4,5.2,5.4,4.5,3.67,4,3,3.67
6,Madhya Pradesh,Ratlam,1.86,1.88,2.23,2.73,2.45,2.97,,3.08,3.06,2.89,3.85,5.32,4.39,4.17,,,3.33,3.21,4.22,3.29,2.85,3,
7,Haryana,Sonipat,,,,,5.24,4.45,,,,,,,,,,,4,,,,2,3.13,3
8,Haryana,Rewari,3.38,2.12,3.19,2.4,,3.9,3.34,2.39,3.32,4.16,3.05,4.29,3.88,4,2.5,3.5,4.7,4.5,4.5,5.04,4.13,5,4.24
9,Madhya Pradesh,Datia,1.99,2.12,1.95,2.03,1.74,2.29,,1.46,1.8,2.22,2.24,2.98,2.54,3.62,2,5,3.08,2.4,3.16,3.38,1.63,2.48,1.85
