Crop: Coriander,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Madhya Pradesh,Khandwa,0.22,0.25,0.29,0.29,0.27,,0.32,0.34,0.29,0.34,0.33,0.34,0.26,0.33,,16,1.6,1.6,1.6,1.61,,,
2,Haryana,Mahendragarh,,,,,,,,,,,,,,2.57,5,1.67,2,0.33,8,15,,,
3,Madhya Pradesh,Sehore,0.42,0.51,0.51,0.51,0.51,,0.51,0.52,0.62,0.68,0.39,0.67,0.52,0.56,,15,1.8,1.8,1.8,1.8,,,
4,Madhya Pradesh,Shahdol,0.3,0.29,0.3,0.28,0.23,,0.25,0.27,0.25,0.25,0.29,0.31,0.44,0.48,,14,0.7,0.71,0.7,0.7,,,
5,Meghalaya,South garo hills,,,,,5.36,,,,,,,,,,,,,9.48,9.49,9.5,9.51,,
6,Madhya Pradesh,Chhindwara,0.24,0.22,0.21,0.27,0.25,,0.28,0.26,0.27,0.3,0.26,0.35,0.37,0.41,,8,1,1,1,1,,,
7,Haryana,Ambala,,,,,,,,,,,,,,1.93,4.23,2.17,2.36,2.5,,8,,,
8,Karnataka,Belgaum,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.35,0.54,0.49,,,0.36,0.31,0.4,0.64,0.6,,0.89,,0.67,,8
9,Meghalaya,West garo hills,,,,,7.06,,,,,,,,,,,,,3.01,3.02,3.02,3.03,,
10,Haryana,Karnal,,,,,,,,,,3.45,,1.54,1.05,0.83,1.47,5.6,5,2,6.88,6.67,,,
11,Haryana,Sirsa,,,,,,,,,,,,,,1.09,1.11,0.15,0.91,6.88,4.97,4.48,,,
12,Haryana,Panipat,,,,,,,,,2.29,1.63,,1.28,1.05,1.54,3,5.29,5.69,6.29,5.93,5.98,,,
13,Andhra Pradesh,East godavari,0.74,0.78,0.57,0.76,0.64,0.73,0.55,,,1,,,,,,0.38,0.55,0.64,0.22,0.48,6.22,1.54,0.67
14,Haryana,Bhiwani,,,,,,,,,,,,,,1.45,2.5,6.2,1.26,,6,2.78,,,
15,Madhya Pradesh,Ratlam,0.45,0.34,0.4,0.46,0.45,,0.45,0.45,0.35,0.43,0.42,0.45,0.41,0.42,,1.5,1.5,1.5,6.18,1.5,,,
16,Telangana,Warangal,0.26,0.49,0.42,0.27,0.6,0.42,0.56,,0.35,0.35,0.68,0.58,,0.73,0.24,0.39,0.63,0.83,1,0.93,5.96,,
17,Madhya Pradesh,Satna,0.31,0.34,0.34,0.36,0.41,,0.33,0.26,0.36,0.43,0.39,0.4,0.3,0.33,,5.79,2.24,2.24,2.16,2.24,,,
18,Meghalaya,East garo hills,,,,,5.38,,,,,,,,,,,,,2.44,2.44,2.44,2.44,,
19,Madhya Pradesh,Sagar,0.33,0.32,0.22,0.35,0.35,,0.34,0.34,0.37,0.3,0.4,0.37,0.53,0.47,,4,4,4,4.81,2.8,,,
20,Haryana,Gurgaon,,,,,,,,,,,,,,1.27,1,4,1.6,4.8,3.4,1.5,,,
21,Haryana,Faridabad,,,,,,,,,,,,,,1.73,3,4.09,1.3,1.16,4.63,4.5,,,
22,Meghalaya,East jaintia hills,,,,,4.17,,,,,,,,,,,,,4,4,4,4,,
23,Rajasthan,Dungarpur,,4,,1.33,1,1,1,1,,1,1,1,1,1,,,1.33,,1.5,,1.5,,
24,Meghalaya,West khasi hills,,,,,,,,,,,,,,,,,,3.94,3.94,3.94,3.94,,
25,Meghalaya,North garo hills,,,,,,,,,,,,,,,,,,3.58,3.58,3.58,3.58,,
26,Rajasthan,Churu,3.5,1.55,0.67,1.17,1,1,1,0.8,1.2,1.23,1.12,1.23,1.17,0.62,0.8,1.06,1.14,1.33,1.3,1.48,1.49,1.48,1.37
27,Haryana,Panchkula,,,,,,,,,,,,,1,2.21,2,1.93,0.17,3.36,2.5,2.5,,,
28,Haryana,Hisar,,,,,,,,,,,,,,1.33,1.2,3,3.33,3.33,,2,,,
29,Haryana,Kaithal,,,,,,,,,,,,,0.91,1.45,1.5,2.09,2.22,1.92,2.73,3.3,,,
30,Haryana,Jhajjar,,,,,,,,,,,,,,1.3,2,2.44,1.59,2.67,3.19,,,,
31,Haryana,Sonipat,,,,,,,,,,,,,,0.81,1.09,1.95,1.32,2.15,1.96,3.04,,,
32,Chhattisgarh,Narayanpur,,,,,,,,0.2,3,0.25,0.29,0.17,,0.5,0.29,0.25,0.25,,0.4,,0.5,,
33,Madhya Pradesh,Betul,0.26,0.28,0.25,0.27,0.27,,0.3,0.31,0.3,0.31,0.29,0.31,0.41,0.48,,3,2.79,2.78,2.81,2.84,,,
34,Madhya Pradesh,Ujjain,0.19,0.17,0.16,0.32,0.32,,0.35,0.23,0.29,0.3,0.26,0.29,0.29,0.29,,1.76,2.7,2.83,2.9,3,,,
35,Haryana,Mewat,,,,,,,,,,,,,,3,2.5,1.95,1.9,1.67,2.19,1.64,,,
36,Madhya Pradesh,Gwalior,0.43,0.61,0.27,0.44,0.45,,0.3,0.33,0.52,0.56,0.45,0.5,0.33,0.32,,2.5,2.5,2.5,2.5,3,,,
