Crop: Cotton(lint),,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare)
1,Maharashtra,Pune,2.29,2,2.5,3,2,3,2,2,3,,,,,,,,,,,34.14,2.37,4.97,2.4
2,Karnataka,Tumkur,2.15,1.86,1.84,2.24,1.51,1.98,1.9,2.72,3.79,2.48,2.97,2.82,2.3,2.24,2.58,1.8,12.94,0.53,1.2,1.93,2.25,1.36,1.64
3,Madhya Pradesh,Chhindwara,1.49,1.54,1.41,2.43,2.24,2.57,2.97,0.53,0.57,0.99,8.87,6.41,1.09,1.12,0.67,1.16,1.07,1.12,1.76,2.4,2.51,12.65,1.71
4,Madhya Pradesh,Barwani,0.46,0.52,0.5,0.93,0.81,0.62,0.74,0.12,0.17,0.14,1.3,1.34,4.78,3.02,1.07,1.14,2.18,2.07,3.65,1.63,1.78,10.47,1.99
5,Kerala,Palakkad,1.61,1.61,1.61,1.61,1.61,1.3,1.3,1.3,1.3,1.3,,,,,,,1.5,1.57,1.51,1.51,6.8,5.5,9.95
6,Madhya Pradesh,Burhanpur,,,,0.86,0.82,0.84,0.85,0.15,0.16,0.12,0.81,1.44,1.72,2.83,0.84,1.12,2.18,2.02,3.24,1.79,1.81,9.4,1.96
7,Madhya Pradesh,Dhar,0.57,0.84,0.8,1.24,1.32,1.49,1.65,0.26,0.22,0.21,1.14,1.79,2.22,2.44,0.74,1.36,1.1,2,1.57,1.78,1.78,8.74,1.49
8,Madhya Pradesh,Dewas,0.97,0.85,0.69,1.06,1.06,1.21,1.37,0.23,0.28,0.2,1.36,2.17,2.6,1.95,1,1.22,0.55,1.45,1.44,0.89,0.89,8.53,1.45
9,West Bengal,Medinipur west,,,,,,1.03,8,5,3.5,,,,,,,,,,,,,,
10,Madhya Pradesh,Seoni,,0.9,0.78,2,1,1,1.5,,,,,,,,,1,,,1.35,0.73,0.72,7.61,1.29
11,Madhya Pradesh,Alirajpur,,,,,,,,,0.15,0.11,0.63,1.09,1.25,2.12,1,1.22,1,1.03,1.93,1.26,1.26,7.53,1.01
12,Gujarat,Surat,1,1.03,0.86,2.36,2.57,3.29,2.35,3.21,2.53,3.5,3.08,3.76,2.08,4.01,3.28,3.3,3.68,7.28,6.43,3.91,2.93,0.04,2.89
13,Madhya Pradesh,Khargone,0.32,0.62,0.68,1.15,1.14,1.02,1.28,0.23,0.25,0.21,1.84,1.72,1.37,1.68,1.59,1.33,1.76,1.43,1.63,0.85,1.14,7.24,1.32
14,Haryana,Mahendragarh,1.34,2.97,1.38,3.31,2.12,1.16,1.96,1.42,2.23,2.23,7.07,2.6,2.24,3,3.14,2.06,3.46,3.02,3.12,3.19,0,2.08,3.09
15,West Bengal,Medinipur east,,,,,,,7,6,6,,,,,,,,,,,0.4,,,
16,Gujarat,Junagadh,1.55,1.63,1.91,5.17,5.63,6.89,4.95,4.09,4.54,5.11,3.77,4.21,2.09,6.83,6.13,2.13,3.07,2.32,2.06,2.27,2.36,0.03,3.98
17,Madhya Pradesh,Harda,0.74,0.76,0.51,0.83,1.05,1.4,1.29,0.19,0.26,0.19,1.49,1.85,1.97,1.57,0.75,,,1.6,1.15,0.7,0.5,6.86,
18,Madhya Pradesh,Khandwa,0.35,0.6,0.57,0.68,0.7,0.95,1.04,0.27,0.16,0.1,0.84,1.33,1.44,2.25,1.47,1.25,1.42,1.28,1.02,0.78,1.25,6.82,1.32
19,Mizoram,Champhai,3,4,2,6.73,5.87,0.55,0.68,,1,0.81,0.8,0.87,,0.98,0.89,0.36,0.03,0.29,,,,,
20,Karnataka,Yadgir,,,,,,,,,,,2.61,1.77,3.07,4.74,3.49,1.95,2.41,6.5,1.76,4.87,4.28,4.35,3.92
21,Gujarat,Jamnagar,0.7,1.37,0.83,5.87,5.5,5.37,5.1,4.5,4.13,4.43,3.96,4.66,0.48,6.36,3.6,2.68,0.85,5.83,2.2,3.42,4.15,0.03,5.62
22,Gujarat,Porbandar,,,,2.24,2.25,3.22,4.19,4.97,6.31,3.02,3.01,2.63,2.29,3.01,3.58,1.18,5.05,4.15,2.91,2.61,2.7,0.02,2.26
23,Haryana,Rewari,3.07,1.69,1.43,2.78,3.46,2.02,2.08,2.3,1.96,1.68,6.28,1.86,3.36,3,2.5,1.14,2.73,2.83,1.3,2.48,0,1.7,1.92
24,Madhya Pradesh,Katni,,,,,,,,,,,,,,,,,,,,1.06,1.1,6.25,1.05
25,Tamil Nadu,Tiruppur,,,,,,,,,,6.21,2.44,2.81,1.84,2.6,3.29,2.65,1.42,0,2.55,3.57,3.58,3.85,2.77
26,West Bengal,24 paraganas north,,2.48,4,3.3,6.08,3.25,3.25,0.28,0.9,1.15,1.97,,2.7,3.1,,,,,,,,,
27,Gujarat,Rajkot,0.39,1.05,0.41,6.02,5.27,6.04,4.96,5.28,4.58,4.41,4.65,4.71,1.6,5.43,3.91,0.77,0.39,5.59,2.23,4.3,3.91,0.03,4.67
28,Punjab,Moga,2.5,1.43,1.2,2.75,3.33,4,4.14,4,6,4.25,3,1.67,4.5,4,3,2,,,4.5,5,4,5,2
29,Madhya Pradesh,Indore,0.5,0.55,0.45,0.79,0.9,0.72,0.74,6,0.13,0.2,,,,0.92,0.6,,,1.1,1.12,0.54,0.54,3.11,0.73
30,Karnataka,Chikmagalur,1.48,0.83,1.14,1.04,1.23,0.83,1.1,1.81,1.13,1.39,2.33,1.15,0.82,1.07,1.64,1.37,0.64,2.07,1.64,1.9,5.91,2.58,2.37
31,Nagaland,Wokha,1,0.75,5.89,0.09,0.11,,,,,,,,,,,,,,,,,,
32,Madhya Pradesh,Damoh,,,,,,,,,,,,,,,,,,,,,,5.88,
33,Rajasthan,Kota,1,,,,,,,,,1.68,2.94,3.06,2.94,3.4,5.88,2.94,3.33,2.75,3.22,,,2.94,
34,Rajasthan,Sawai madhopur,2,,,,,1.25,,,,2.94,,3.09,2.82,3.92,2.94,5.88,,3.67,,,,,
35,Rajasthan,Baran,,,,,,,,,,2.01,2.94,3,2.94,5.88,,2.94,,,3.27,,,,
36,Madhya Pradesh,Sidhi,0.5,0.5,0.1,0.67,,,,,,,,,,,,,,,0.33,1,0.86,5.88,
37,Madhya Pradesh,Datia,,,,,,,,,,,,,,,,,,,2,,,5.88,
38,Rajasthan,Jhalawar,1.63,0.63,0.65,1.7,1.71,1.87,2.12,2.45,2.26,1.96,2.94,2.94,3.92,,5.88,,3.5,2.94,5.8,,,,
39,Madhya Pradesh,Rewa,,,,,,,,,,,,,,,,,,,,0.43,,5.88,
40,Madhya Pradesh,Shahdol,,,,,,,,,,,,2.35,,,,,,,,1,,5.88,
41,Madhya Pradesh,Sehore,0.34,0.36,0.36,0.58,,0.68,0.62,0.08,0.13,0.11,0.71,1.29,,,,,,,,,,5.88,
42,Rajasthan,Dausa,1.46,,0.75,2.09,1.68,1.78,2.21,2.35,2.26,2.04,2.61,2.94,2.94,5.88,3.53,2.94,3.29,2.94,2.75,2.5,4,3.53,3.92
43,Nagaland,Dimapur,1.43,1.13,5.79,0.06,0.1,,0.17,,,,,0.56,,0.57,0.57,0.63,0.63,0.63,0.63,0.63,0.67,0.5,
44,Punjab,Barnala,,,,,,,,5.79,4.75,4.55,4,4,3.56,4.11,3.88,1,4.67,4,3.81,4.75,4.67,2.71,2.76
45,Karnataka,Gulbarga,2.66,1.9,2.63,2.81,2.65,3.61,3.61,4.08,3.64,2.36,2.78,4.05,2.3,5.7,4.09,2.1,3.27,5.21,2.98,3.75,2.36,3.06,3.23
46,Gujarat,Vadodara,1.1,0.89,1.54,2,2.6,2.6,2.24,2.63,3.33,3.43,3.98,3.25,4.14,3.76,3.5,3.03,3.79,5.54,4.98,4.59,4.93,0.05,5.36
47,Gujarat,Amreli,0.8,0.98,1.58,3.26,2.5,3.83,4.58,3.78,3.35,2.79,4.24,2.6,0.84,5.52,1.82,2.8,1.68,2.23,1.37,3.64,2.45,0.03,3.46
48,Madhya Pradesh,Ratlam,0.49,1.01,0.66,1.48,1.29,1.73,1.49,0.28,0.33,0.24,1.78,2.86,2.66,1.97,1.18,1.09,1.14,1.59,1.6,0.66,0.8,5.47,1.03
49,Puducherry,Pondicherry,5.01,5.46,5.3,4.99,0.77,0.85,0.83,0.86,0.78,1,,1,0.67,1,1.2,1.18,1.75,1.8,2,3,2.5,2.6,2.5
50,Gujarat,Kachchh,1.58,1.64,1.51,2.47,2.22,3.45,3.16,4.24,3.88,4.96,4.38,4.49,4.65,5.19,5.35,5.4,4.95,4.28,3.02,3.04,2.76,0.04,4.74
51,Gujarat,Chhotaudepur,,,,,,,,,,,,,,,4.76,3.84,4.5,4.68,5.4,4.49,3.91,0.04,3.77
52,Haryana,Jhajjar,1.27,1.59,1.09,2.36,1.31,1.94,2.88,2.17,5.37,3.3,1.95,3.15,2.44,2.5,3,2.57,3.07,2.95,3.04,2.93,0,3.2,2.63
53,Tamil Nadu,Theni,1.85,1.46,1.53,1.75,1.38,1.21,2.83,2.62,3.15,5,4.06,3.96,4.08,3.56,4.27,4.6,0.43,0,2.47,5.36,2.82,4.99,4.63
54,Rajasthan,Banswara,0.82,0.88,0.38,2.98,1.61,2.24,1.1,1.67,1.4,1.76,2.25,2.09,1.55,2.51,0.65,2.15,1.9,3.29,2.24,3.8,5.32,3.93,4.63
55,Punjab,Bathinda,2.25,2.31,2.78,3.21,4.21,4.36,4.59,4,4.67,4.39,4.13,3.7,3.85,3.56,3.58,1.05,4.93,4.96,5.08,5.25,4.8,1.15,1.81
56,Gujarat,Botad,,,,,,,,,,,,,,,4.52,3.75,2.42,4.12,2.01,2.26,3.11,0.04,5.25
57,Tamil Nadu,Dindigul,2.97,2.18,1.05,1.29,1.67,2.17,2.89,2.71,1.61,3.32,2.78,3.71,1.67,2.26,5.24,3.32,1.04,0,3.05,3.34,3.07,3.62,3.34
58,Madhya Pradesh,Guna,,,,1,1,,,,,,,1.07,,,0.6,,,,0.68,0.77,0.78,5.21,0.78
59,Andhra Pradesh,Guntur,2.02,2.99,1.89,3.49,3.34,3.02,3.54,4.59,3.87,3.46,2.36,2.13,3.79,3.89,5.21,3.88,4.61,4.37,4.21,0.92,2.82,3.5,3.25
60,Gujarat,Gir somnath,,,,,,,,,,,,,,,2.42,2.25,0.73,4.45,1.1,3.7,4.14,0.06,5.21
61,Puducherry,Karaikal,5.21,5,5.15,3.2,0.68,0.66,0.67,0.37,0.84,0.78,1,1,0.83,0.74,2.25,2.41,1.82,1.04,1.03,2.49,2.19,2.45,2.66
62,Rajasthan,Ganganagar,1.55,0.35,0.66,1.85,1.32,1.59,2.01,2.11,2.35,1.87,2.37,2.79,2.78,3.21,2.34,2.93,3.18,3.75,3.59,4.53,5.21,3.72,3.96
63,Gujarat,Anand,,,,3.25,4.05,3.76,3.03,3.86,3.58,3.64,4.36,4.28,2.74,4.86,5.18,4.17,3.86,3.71,3.83,2.61,3.11,0.03,3.25
64,Gujarat,Banas kantha,0.68,0.93,0.91,4,4.25,4,5.17,3.52,4.06,3.3,3.51,3.78,3.52,1.38,3.17,2.35,3.87,4.15,3.31,2.91,3.29,0.04,3.56
65,Madhya Pradesh,Jhabua,0.28,0.49,0.43,0.84,0.71,0.87,0.68,0.13,0.15,0.11,0.58,1.18,1.2,2.99,0.86,1.58,1.77,1,1.28,0.91,1.23,5.12,1.2
