Crop: Cowpea(Lobia),,,,,,,,,,,,,,,,,,
S.No.,State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Andaman and Nicobar Islands,South andamans,,,,,7.5,9.24,4.6,4.84,4.32,,,,,,,
2,Telangana,Warangal,,,,,0.75,0.5,0.79,0.38,7.01,0.5,1.17,1.01,0.96,1.08,0.42,0.86
3,Andaman and Nicobar Islands,North and middle andaman,,,,,4.68,4.64,5.63,3.94,6.62,,,,,,,
4,Mizoram,Aizawl,,,,1.47,1.22,1.11,0.79,0.78,1.27,1.3,4.42,4.31,1.99,1.65,1.65,0.99
5,Andaman and Nicobar Islands,Nicobars,,,,,2.82,3.04,3.86,2.87,0.9,,,,,,,
6,Meghalaya,East khasi hills,,,,,,,3.2,3.25,3.47,3.16,3.16,3.16,3.16,3.16,,3.2
7,Meghalaya,South west khasi hills,,,,,,,2.33,2.67,3,3,3,3,3,3,,3
8,Telangana,Nizamabad,,,,,,,0.46,,2.63,,,,0.67,0.79,0.74,0.75
9,Telangana,Jagitial,,,,,,,,,,2.07,1.35,1.98,1.21,1.07,0.66,0.9
10,Jammu and Kashmir,Leh ladakh,,,,2.05,,,,,,,,,,,,
11,Jammu and Kashmir,Jammu,0.68,,,2.01,,,,,0.55,0.54,,,,,,
12,Mizoram,Lunglei,,,,1.96,1.12,0.8,1.07,0.99,1.07,1.24,1.34,1.49,1.4,1.31,1.24,1.23
13,Mizoram,Saitual,,,,,,,,,,,,,,1.93,1.24,1.18
14,Mizoram,Mamit,,,,0.82,0.91,0.89,0.99,1.91,0.94,0.92,0.92,1.02,0.94,0.9,1.3,1.12
15,Mizoram,Kolasib,,,,1.08,1.17,1.41,1.43,1.3,1.32,1.32,1.33,1.36,1.88,1.91,1.88,1.91
16,Meghalaya,West garo hills,,,,,,,1.81,1.82,1.86,1.86,1.86,1.86,1.87,1.87,,1.87
17,Telangana,Rangareddi,,,,,0.6,,0.73,0.89,1.85,1,,,0.86,0.81,0.7,0.71
18,Telangana,Jogulamba,,,,,,,,,,1.13,1.3,1.12,0.99,1.82,1.28,1.25
19,Telangana,Peddapalli,,,,,,,,,,1.78,1.18,0.96,0.84,0.87,0.7,0.88
