Crop: Dry chillies,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Rajasthan,Ganganagar,3,3,1,1,0.02,1,1,1,0.98,0.82,0.88,0.88,,0.57,,40,1.59,2.5,11.75,7,10.93,12.55,
2,Haryana,Panipat,1,0.94,,0.88,,1.07,0.55,24.82,9.3,1.71,9.77,,9.09,,,,,,,,,8,
3,Andaman and Nicobar Islands,South andamans,,,0.09,1.7,2.42,2.37,0.28,,,,1.16,1.83,1.59,2.46,2.62,3.66,20.96,21.71,8,8.05,,4.59,2.5
4,Andaman and Nicobar Islands,North and middle andaman,,,,,,,3.5,,,,1.58,1.35,1.51,1.68,3.54,4.95,6.24,2.92,3.6,2.61,4.81,3.7,21.23
5,Manipur,Tamenglong,0.61,1.25,0.61,0.61,0.59,0.6,0.6,0.6,7.4,7.41,7.53,7.6,7.9,7.89,7.88,,,,18.57,5.63,,,
6,Haryana,Panchkula,,1.69,,1.61,4.92,,1.39,12.16,4.35,1.61,11.54,,16.67,,,,,,,,,7.6,
7,Madhya Pradesh,Neemuch,0.54,0.66,0.57,0.96,,,1.32,,,1.96,2.7,1.78,2.88,0.99,,16.39,15,1.1,1.1,,,,
8,Haryana,Sonipat,0.63,2.08,,5.26,10.53,0.65,0.82,6.67,9.38,1.39,9.89,,15.79,,,,,,,,,,
9,Madhya Pradesh,Chhindwara,0.22,0.26,0.36,0.43,,,0.47,,,0.95,1.31,0.99,1.23,0.79,,14.99,10,10,8.23,,,,
