State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,0.58
Andhra Pradesh,Anantapur,0.3,0.27,0.3,0.44,0.23,0.3,0.38,,0.6,0.69,0.54,0.56,0.67,0.57,0.46,0.24,0.08,0.28,0.18,0.37,0.15,0.17,0.21
Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,0.56
Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,1
Andhra Pradesh,Chittoor,0.44,0.53,0.48,0.43,0.33,0.4,0.51,0.5,0.66,0.69,0.53,0.59,0.67,0.54,0.45,0.51,0.36,0.63,0.41,0.64,0.61,0.52,0.43
Andhra Pradesh,East Godavari,0.21,0.54,0.38,0.54,0.4,0.36,0.5,1,0.39,0.65,0.41,0.42,,0.46,0.41,0.55,0.53,0.7,0.55,0.62,0.5,0.29,0.5
Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,0.59
Andhra Pradesh,Guntur,0.17,,0.33,,,,,,,0.63,,,,,,,,,0.64,0.6,0.33,,
Andhra Pradesh,Krishna,0.21,0.54,0.37,0.52,0.41,0.36,0.51,,0.38,0.62,0.41,0.42,,0.46,0.41,0.55,0.56,0.71,0.65,0.92,0.81,0.72,0.59
Andhra Pradesh,Kurnool,0.22,0.54,0.37,0.54,0.13,0.38,0.5,1,0.66,0.69,0.56,0.59,1,0.56,0.46,0.46,0.4,0.6,0.17,0.49,0.77,0.65,0.53
Andhra Pradesh,Nandyal,,,,,,,,,,,,,,,,,,,,,,,0.54
Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,0.3
Andhra Pradesh,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,0.58
Andhra Pradesh,Prakasam,0.21,0.54,0.37,0.54,0.4,0.36,0.51,,0.38,0.62,0.41,0.42,,0.46,0.42,0.55,0.49,0.69,0.65,0.65,0.71,0.89,0.96
Andhra Pradesh,Spsr Nellore,0.22,0.54,0.37,0.54,0.41,0.36,0.51,,0.38,0.62,0.41,0.42,,0.46,0.42,0.55,0.56,0.71,0.65,0.66,0.32,0.4,0.59
Andhra Pradesh,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,0.42
Andhra Pradesh,Srikakulam,0.37,0.55,0.43,0.59,0.4,0.42,0.51,0.55,0.5,0.62,0.46,0.55,0.83,0.52,0.48,0.66,0.8,0.82,0.77,0.53,0.75,0.54,0.64
Andhra Pradesh,Tirupati,,,,,,,,,,,,,,,,,,,,,,,0.47
Andhra Pradesh,Visakhapatanam,0.27,0.75,0.85,0.88,0.97,0.3,0.58,0.5,0.49,0.71,0.72,0.52,0.5,0.49,0.48,0.63,0.56,0.56,0.66,0.62,0.72,0.61,0.58
Andhra Pradesh,Vizianagaram,0.11,0.48,0.23,0.43,0.28,0.34,0.49,0.47,0.3,0.61,0.33,0.32,0.43,0.39,0.35,0.46,0.41,0.65,0.52,0.75,0.64,0.58,0.45
Andhra Pradesh,West Godavari,0.22,0.54,0.37,0.54,0.41,0.37,0.49,,0.38,0.63,0.42,0.42,,0.47,0.4,0.56,0.56,0.71,0.64,0.67,0.64,0.55,1
Andhra Pradesh,Y.s.r.,0.37,0.5,0.37,0.5,0.22,0.38,0.19,,0.34,0.54,0.33,0.42,0.67,0.64,0.46,0.5,0.14,0.66,0.23,0.54,0.41,0.17,0.53
Bihar,Araria,0.99,1.01,0.8,0.74,0.88,0.89,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.96,0.94,,,,,,
Bihar,Arwal,,,,0.75,0.81,0.87,,,,,,0.94,0.94,,,,,,0.92,0.93,1,0.9,1
Bihar,Aurangabad,0.75,0.82,0.79,0.72,,0.85,,,,,,,1,1,1,,,,,,,,
Bihar,Banka,0.77,0.8,0.8,0.74,0.74,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.96,0.94,0.95,0.92,0.94,0.94,0.93,0.92
Bihar,Begusarai,0.77,0.8,0.8,0.74,,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.87,0.87,0.89,0.88,0.88,0.88,0.69,0.67
Bihar,Bhagalpur,0.77,0.8,0.8,0.74,0.74,0.86,,,,0.96,0.94,0.95,0.97,0.95,0.96,0.96,0.94,0.95,0.92,0.94,0.94,0.93,0.92
Bihar,Bhojpur,,,,,0.8,,,,,1,0.9,1,1,1,1,0.89,,,,,,,
