Crop: Jute,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare),Yield (Bales/Hectare)
1,West Bengal,24 paraganas south,10.35,14.28,12.34,15.89,14.89,13.8,12.39,11.45,12.41,12.24,11.55,12.81,19.34,21.15,20.87,14.64,17.57,21.38,180.29,27.21,27.6,26.28,31.1
2,West Bengal,Howrah,14.97,17.28,17.18,18.56,17.38,18.48,18.27,17.67,15.12,18.23,20.25,17.18,18.23,21.75,17.6,23.17,25.83,3.35,82.99,21.83,20.99,19.12,25.66
3,Bihar,Madhepura,10.37,6.68,9.07,13.49,7.86,13.74,12.54,12.89,15.89,5.02,4.68,9.97,12.58,13.9,15.12,22.04,15.89,36.89,13.29,12,24.44,9.97,12.71
4,Bihar,Katihar,7.12,6.68,6.6,7.28,7.58,11.82,12.47,8.53,9.49,10.3,10.54,17.09,17.27,21.16,16.24,14.53,12.58,5.64,13.85,26.52,22.04,10.31,9.53
5,Bihar,Saharsa,8.5,6.7,5.76,10.28,7.85,19.1,15.32,12.85,10.67,11.44,12.61,15,16.33,13.9,13.5,22,22,25,11,11,14,11.11,13.33
6,Bihar,Supaul,3.29,6.68,4.53,8.82,7.86,21.53,16.57,12.84,8.34,14.88,16.52,17.29,18.26,13.9,13.25,22.04,24.63,19.61,9.38,11.04,21.36,12.22,14.16
7,Bihar,Araria,9.61,6.6,6.97,6.8,7.86,10.15,9.86,10.47,10.66,7.06,6.78,7.72,6.79,7.53,9.11,9.58,8.31,9.73,13.32,10.21,10.26,24.39,19.54
8,Odisha,Jagatsinghapur,5.88,11,8.38,9.5,8,9,7,13,8.2,7.57,11.33,15,2.25,1.9,2,,,,,,23.17,,
9,West Bengal,Hooghly,17.79,19.05,19.06,18.71,20.2,19.48,18.53,18.04,18.1,17.58,21.34,16.53,19.74,21.14,22.76,19.11,19.03,18.38,10.28,21.25,20.8,21.43,22.01
10,West Bengal,Medinipur east,19.1,22.13,15.6,14.73,13.24,14.46,17.76,16.71,16.52,13.8,17.49,18.73,15.66,13.54,12.75,15.33,16.47,16.1,20.43,18.53,8.21,16.06,17.76
11,West Bengal,Purba bardhaman,18.12,21.39,18.38,18.31,17.88,18.37,16.64,14.19,15.48,17.22,21.05,18.32,15.5,21.2,20.6,16.62,20.52,20.51,0.02,20.24,18.65,19.93,20.37
12,Bihar,Purnia,8.14,6.64,6.67,7.12,8.14,7.74,8.38,9.56,1.64,11.34,11.48,12.23,17.8,13.38,19.15,11.93,18.89,19.46,17.69,20.98,21.19,16.21,14.04
13,West Bengal,Birbhum,18.77,20.83,18.42,18.03,17.8,18.16,17.76,16.71,16.52,17.56,19.5,18.73,18.93,19.55,20.75,18.1,19.6,18.3,2.27,21.01,20.08,21.19,21.09
14,West Bengal,Paschim bardhaman,,,,,,,,,,,,,,,,,20,,,,,21.14,
15,West Bengal,Bankura,18.8,20.82,18.44,18,17.8,18,17.77,16.71,16.5,,19.5,18.75,,19.5,20.75,18.07,17.67,13.71,17,16.15,16.21,17.75,17.76
16,West Bengal,24 paraganas north,13.92,14.44,16.06,17.62,17.46,17.05,18.53,17.73,16.96,20.41,19.04,17.97,15.9,18.64,17.42,16.62,15.78,16.71,0.15,17.42,17.28,19.63,20.15
